"HENLEY ON THAMES GREYS LANE WATER WORKS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1076,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.63,2.29,3.12,1.73,3.20,1.88,2.67,2.05,3.38,1.17,3.77,
February,0.34,0.16,2.66,3.92,0.38,3.41,2.18,3.83,1.85,0.80,0.69,
March,1.70,0.89,1.68,2.94,1.20,0.72,0.13,2.52,1.89,0.07,0.99,
April,3.46,0.98,2.70,2.79,3.00,1.72,2.22,1.43,1.67,0.93,2.05,
May,2.55,1.02,1.01,1.54,4.40,2.83,1.53,1.12,0.99,1.27,1.90,
June,2.64,0.17,1.26,0.37,2.47,0.00,2.47,2.69,2.56,0.74,0.20,
July,6.33,0.12,4.30,1.73,4.10,3.87,1.80,2.33,2.55,1.42,2.56,
August,1.41,1.51,3.47,2.25,2.48,4.74,0.85,2.60,3.33,0.97,2.93,
September,1.66,2.40,2.00,2.23,3.38,2.96,0.96,3.92,1.09,0.60,3.17,
October,2.20,1.46,0.89,5.09,3.60,3.32,2.12,2.01,4.24,3.16,1.02,
November,1.09,1.78,1.43,1.77,2.61,2.14,5.18,3.11,2.50,7.53,4.37,
December,2.32,1.35,2.49,3.03,3.74,2.30,0.32,3.40,2.34,5.71,3.16,
Total,28.33,14.13,27.01,29.39,34.56,29.89,22.43,31.01,28.39,24.37,26.81,
Calc annual,28.33,14.13,27.01,29.39,34.56,29.89,22.43,31.01,28.39,24.37,26.81,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
