"HENLEY-ON-THAMES (GREYS LANE)",,,,,,,,,,,,
Grid ref,SU761824,Long,-0.904220,Lat,51.535385,,,,,,,
Station no,1076,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.06,1.92,0.90,1.37,2.79,3.97,2.05,3.08,3.46,2.95,,
February,5.16,0.72,2.06,2.95,1.57,0.17,3.30,3.70,0.17,2.51,,
March,3.90,2.29,0.51,2.54,1.10,0.83,1.78,1.61,2.60,1.39,,
April,3.03,1.48,2.74,0.46,0.56,2.11,0.29,1.01,2.87,0.62,,
May,2.38,2.91,1.81,3.04,4.40,0.21,1.46,2.13,0.54,2.19,,
June,0.96,1.44,1.96,3.83,2.33,2.83,1.63,4.20,1.38,1.24,,
July,1.23,0.38,3.90,3.04,0.18,1.94,3.95,3.57,2.12,3.09,,
August,4.91,2.35,1.85,3.83,0.59,5.19,3.39,4.40,1.22,2.68,,
September,3.36,2.83,2.36,1.66,2.30,2.86,2.88,4.72,0.10,3.23,,
October,1.07,3.82,3.11,2.16,2.95,1.69,2.00,3.13,2.86,6.54,,
November,6.59,3.44,1.33,5.07,1.63,0.71,2.31,2.87,2.63,4.15,,
December,1.95,2.99,0.57,2.58,2.81,3.66,2.41,3.41,4.67,3.97,,
Total,37.60,26.57,23.10,32.53,23.21,26.17,27.45,37.83,24.62,34.56,,
Calc annual,37.60,26.57,23.10,32.53,23.21,26.17,27.45,37.83,24.62,34.56,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
