"CHELTENHAM (SANDFORD MEAD)",,,,,,,,,,,,
Grid ref,SO953216,Long,-2.069704,Lat,51.892931,,,,,,,
Station no,2176,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.35,2.24,0.87,1.39,2.02,3.52,1.95,1.98,4.73,3.84,,
February,3.95,0.67,1.51,2.35,1.59,0.61,2.54,3.30,0.14,2.24,,
March,4.16,2.24,0.69,2.21,1.70,0.68,1.92,0.83,2.53,1.45,,
April,3.06,2.31,2.42,0.28,0.85,1.85,0.12,0.69,3.25,0.99,,
May,3.13,3.23,2.34,2.15,4.28,0.67,1.53,2.65,0.81,1.66,,
June,0.49,1.64,1.57,3.13,3.74,1.81,1.17,4.00,1.51,2.30,,
July,0.91,0.40,2.59,2.30,0.34,2.43,3.46,3.34,2.03,3.44,,
August,5.24,5.10,3.27,4.48,0.57,5.21,3.66,1.82,1.42,3.71,,
September,2.43,1.17,3.23,2.32,0.64,3.32,3.21,3.61,0.27,4.27,,
October,0.78,2.89,2.19,2.68,1.38,1.58,1.46,2.53,2.12,5.08,,
November,6.80,3.16,0.84,6.32,3.22,0.82,1.92,3.01,3.84,4.33,,
December,2.54,2.34,0.85,2.24,2.53,3.26,2.64,2.92,5.62,2.52,,
Total,36.84,27.39,22.37,31.85,22.86,25.76,25.58,30.68,28.27,35.83,,
Calc annual,36.84,27.39,22.37,31.85,22.86,25.76,25.58,30.68,28.27,35.83,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
