COLNEY-HATCH-ASYLUM,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ284920,Long,-0.14701579,Lat,51.612196,Elevation,215,ft.,,,,,,,,,,,,
Station no,RR1785,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,0.66,0.93,3.13,0.52,2.01,3.11,0.98,2.09,,,,
February,,,,,,,,,1.84,1.29,1.79,1.84,0.34,0.49,1.06,2.79,,,,
March,,,,,,,,,0.78,1.62,2,1.88,3.61,0.99,3.19,1.24,,,,
April,,,,,,,,2.23,1.81,3.05,1.15,0.91,1.91,0.56,0.82,0.44,,,,
May,,,,,,,,0.98,1.27,3.15,3.43,1.25,3.27,1.54,1.99,1.31,,,,
June,,,,,,,,2.15,0.36,3.44,6.21,1.84,2.47,4.31,1.34,1.43,,,,
July,,,,,,,,1.3,2.32,3.31,2.77,2.59,2.31,0.95,0.47,2.31,,,,
August,,,,,,,,3.48,1.85,3.29,5.28,0.76,2.19,2.15,0.94,3.76,,,,
September,,,,,,,,3.75,0.85,4.14,2.7,2.52,2.13,3.18,2.3,0.55,,,,
October,,,,,,,,6.15,1.33,2.58,1.67,1.26,3.78,2.09,1.34,6.22,,,,
November,,,,,,,,1.79,0.59,3.17,3.04,4.27,1.19,1.95,2.26,2.07,,,,
December,,,,,,,,0.45,1.73,2.49,2.47,1.43,1.76,1.15,0.6,1.25,,,,
Total,,,,,,,,,15.39,32.46,35.64,21.07,26.97,22.47,17.29,25.46,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is the asylum. Altitudes match, note gauge on roof.",,,,,,,,,,,,,,,,,,,,
