HOLMBRIDGE YATEHOLME RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE111043,Long,-1.833998,Lat,53.535237,Elevation,1009,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,6.47,12.36,7.14,4.88,5.41,8.61,8.62,9.41,5.05,6.05,4.99,7.29,6.99,6.55,17.87,2.98,9.9,9.07,7.31,4.57,6.29,3.64,5.98,8.41,9.72,9.36,3.41,,6.72,7.82,12.97,6.58,9.3,6.37,15.18,3.65,4.65,7.36,8.13,3.15,5.69,5.32,7.87,5.77,6.02,6.66,9.13,,
February,,,,,4.33,8.74,10.42,0.88,11.07,2.6,6.44,0.65,7.02,9.55,2.6,9.54,5.41,2.09,9.85,0.9,1.37,9.55,0.54,8.19,0.35,10.74,4.29,9.59,4.03,7.5,3.41,8.8,2.1,6.1,4.02,9.16,10.89,3.33,5.6,4.4,10.51,6.16,2.68,2.96,4.74,3.04,2.49,4.48,8.53,0.59,3.48,,
March,,,,,8.78,2.38,7.25,4.29,2.38,9.91,4.8,5.26,3.71,3.28,1.89,2.84,3.37,7.85,3.54,1.43,4.53,0.91,4.49,4.01,5.69,3.1,5.06,4.83,2.65,4.59,5.31,7.01,3.78,3.11,1.11,2.24,2.61,10.69,2.81,2.62,3.81,8.55,3.46,4.63,3.86,3.96,2.54,4.67,3.87,2.47,2.92,,
April,,,,,2.39,2.92,4.95,3.9,1.95,2.92,8.74,1.98,4.92,4.28,2.85,5.18,3.53,6.6,2.4,2.32,4.05,6.21,7.35,2.1,3.98,5.48,2.71,3.92,0.88,3.84,4.8,4.34,3.34,3.8,4.35,4.26,2.56,5.78,3.32,7.48,7.05,4.28,4.22,5.17,1.37,2.57,3.59,0.59,2.4,6.81,4.21,,
May,,,,,3.34,2.59,3.04,2.31,2.9,2.71,6.87,2.76,1.69,6.36,7.3,5.33,4.92,2.01,2.21,4.25,3.08,3.87,6.99,2.16,4.78,0.99,2.1,3.17,5.51,2.59,1.02,4.51,4.42,4.18,6.34,4.72,2.8,3.95,2.15,3.14,3.11,4.65,2.59,3.15,4.65,7.01,2.08,1.87,5.27,2.22,2.61,,
June,,,,,4.67,1.43,4.85,2.68,3.06,2.13,3.76,0.5,3.2,1.71,2.74,0.14,4.13,5.62,6.85,1.51,4.92,6.21,0.6,4.18,2.6,4.9,5.17,3.14,6.02,4.02,1.01,1.92,1.55,4.77,3.95,6.19,4.68,3.79,6.56,1.51,2.84,1.73,3.62,4.87,3.51,4.66,3.75,1.97,6.15,2.33,2.56,,
July,,,,,4.66,5.95,2.56,3.05,4.52,3.76,8.93,2.85,4.9,5.51,4.45,2.2,4.33,3.17,3.02,3.81,9,6.02,6.57,5.59,3.82,3.03,5.39,3.84,5.6,10.33,6.08,2.43,6.49,3.55,3.67,2.37,6.52,3.21,2.69,3.61,3.86,4.11,2.82,7.89,7.25,1.85,9.42,6.22,6.04,4.58,8.44,,
August,,,,,4.42,5.88,2.64,9.29,3.21,5.06,3.48,7.11,7.15,6.27,5.46,5.07,6.78,7.58,5.58,7.48,5.94,8.1,2.83,1.26,4.16,3.16,3.12,1.9,5,2.64,3.11,8.37,7.43,8.31,5.94,4.17,6.52,0.4,6.39,4.32,5.5,7.83,5.01,5.73,8.17,1.06,13.21,7.22,4.86,1,6.47,,
September,,,,,4.02,0.72,3.19,4.11,17.22,3.64,2.4,1.52,5.27,5.89,5.76,4.97,4.19,8.34,0.65,2.46,6.03,6.09,7.79,2.84,4.06,9.22,8.33,2.45,3.09,2.49,7.03,0.69,4.17,6.5,8.25,3.93,9.58,3.07,3.2,2.06,9.35,3.79,5.73,3.9,7.96,3.26,5.47,7.77,5.96,0.37,4.16,,
October,,,,,3.99,2.57,11.63,10.31,5.48,3.64,3.01,3.56,1.22,5.97,7.19,8.15,5.63,7.33,8.3,8.05,8.39,3.4,10.87,6.91,8.54,14.69,8.42,3.86,14.38,4.13,6.92,7.33,9.7,3.4,7.41,8.96,2.76,1.57,3.9,5.09,3.91,1.52,7.94,2.91,11.16,4.12,4.27,7.87,5.47,6.3,9.37,,
