KIRKSTEAD WOODHALL SPA,,,,,,,,,,,,
Grid ref,TF197634,Long,-0.211,Lat,53.154,Elevation,37,ft,,,,
Station no,2553,,,,,,,,,,,
,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903
January,0.72,1.44,1.78,2.41,0.97,2.44,0.98,2.36,2.75,0.57,0.72,1.58
February,2.04,2.37,1.38,0.00,0.00,2.60,0.60,1.14,4.06,1.51,1.38,0.39
March,1.03,0.42,0.64,3.04,2.11,1.92,1.20,0.57,0.43,1.26,1.38,3.13
April,1.48,0.22,2.08,1.29,0.71,1.36,2.48,2.27,2.04,1.22,1.40,1.42
May,1.95,0.67,1.44,0.79,0.79,1.20,1.96,2.68,0.94,1.33,2.82,1.97
June,2.36,1.73,2.40,1.43,2.04,1.96,1.78,2.46,2.49,1.17,2.24,0.85
July,2.49,2.51,4.46,3.17,1.69,0.89,0.46,0.72,1.24,2.55,1.49,2.03
August,1.39,1.28,2.83,2.28,0.95,2.98,2.70,0.53,3.67,2.35,3.02,4.44
September,1.98,1.12,0.73,0.30,3.53,2.34,0.36,2.46,0.83,1.18,0.77,3.33
October,5.07,1.37,2.51,2.06,3.39,0.53,2.70,2.38,2.30,1.96,2.25,5.73
November,1.93,2.46,2.30,2.81,0.96,2.36,1.77,1.07,2.07,1.77,1.41,1.67
December,0.22,1.88,1.78,2.20,3.69,1.74,2.08,2.09,3.28,4.33,1.34,1.01
Total,22.66,17.47,24.33,21.78,20.83,22.32,19.07,20.73,26.10,21.20,20.22,27.55
,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/160,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/104,,,,,,,,,,,,
,,,,,,,,,,,,
# Directions put this close to the later Galen House site.,,,,,,,,,,,,
"# Langton St Andrews, mentioned on the 1890s sheet directions, was an earlier name for the Woodhall Spa area.",,,,,,,,,,,,
