SUNDERLAND CLAXHEUGH GROVE,,,,,,,,,,,,
Grid ref,NZ358577,Long,-1.443104,Lat,54.912731,,,,,,,
Station no,RR6325,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.41,1.53,1.23,2.60,1.58,0.41,2.59,0.44,1.27,0.72,,
February,6.28,1.78,1.77,0.99,3.11,0.82,1.20,1.26,0.94,1.40,,
March,2.04,2.25,0.97,1.14,1.59,1.40,1.19,0.87,3.00,5.54,,
April,1.00,1.00,1.48,1.80,0.89,2.69,0.88,2.00,3.11,2.60,,
May,1.04,2.43,2.59,2.52,2.90,0.75,5.13,3.65,1.58,1.65,,
June,4.07,1.84,2.01,2.76,1.59,0.86,0.97,3.59,0.47,2.36,,
July,2.08,2.75,2.91,4.40,1.51,1.05,0.83,1.75,2.45,2.53,,
August,5.08,2.22,2.02,2.06,2.47,2.52,2.56,2.17,1.10,2.97,,
September,0.50,0.75,0.54,2.51,0.50,1.92,0.53,0.37,1.56,1.76,,
October,6.69,2.16,2.59,8.15,0.84,3.28,5.19,4.21,1.18,2.72,,
November,2.75,5.09,1.44,2.58,2.37,4.48,2.74,1.56,1.35,1.33,,
December,2.43,2.75,3.20,2.02,2.47,0.47,2.19,3.24,1.12,4.20,,
Total,36.37,26.55,22.75,33.53,21.82,20.65,26.00,25.11,19.13,29.78,,
Calc annual,36.37,26.55,22.75,33.53,21.82,20.65,26.00,25.11,19.13,29.78,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
