BRAYSTONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY008058,Long,-3.530977,Lat,54.437897,Elevation,36,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.89,3.02,6.6,3,3.03,5.92,3.72,2.65,7.19,5.96,4.07,4.67,1.7,9.38,2.37,1.65,1.02,0.74,2.45,5.84,4.53,2.4,3.62,2.73,1.24,2.37,4.86,1.68,2.88,0.96,2.67,1.02,2.48,0.84,2.35,5.2,,,,,,,,,3.54,2.04,3.2,1.72,2.07,2.77,2.99,4.44,3.2,2.22,4.21,4.82,5.03,6.01,3.34,3.05,4.33,2.84,4.31,4.34,8.35,2.18,5.34,3.44,4.21,3.18,4.96,1.91,3.57,3.85,4.4,4.38,3.2,0.95,4.63,5.89,4.17,4.18,5.83,2.85,6.57,2.99,2.6,5.35,3.32,3.42,2.71,2.32,3.17,4.54,5.75,2.03,4.55
February,1.35,2.62,3.17,2.1,3.45,3.68,2.38,3.05,3.57,0.7,3.1,1.46,2.84,3,2.88,2.01,2.48,3.15,2.68,2.67,4.27,5.63,1.64,1.08,0.82,2.46,0.43,0.32,0.8,5.62,4.52,0.25,2.06,1.97,3.28,1.75,,,,,,,,,2.06,2.89,4.94,4.14,2.1,1.72,4.27,4.63,3.22,1.33,4.08,0.47,2.32,0.22,3.94,4.78,1.12,4.37,4.48,3.22,3.64,1.48,0.39,3.01,0.06,3.93,0.28,3.85,1.81,5.1,1.7,4.06,1.19,3.11,1.82,3.27,1.93,4.11,3.03,0.55,2.34,2.55,3.8,2.75,0.91,1.61,3.93,1.12,0.72,2.41,4.42,1.2,4.75
March,2.94,1.76,2.59,1.06,4.55,0.82,2.23,2.25,4.14,3.64,2.18,0.9,2.49,2.64,1.4,1.97,1.21,3.02,2.47,1.85,3.45,3.53,3.27,1.08,2.16,1.98,2.35,0.96,0.95,1.31,1.54,3.68,4.01,4.6,1.15,2.52,,,,,,,,,2.99,3.25,2.42,0.95,4.59,3.45,3.82,2.01,0.89,1.91,1.91,2.75,5.01,4.8,2.15,1.3,1.4,0.84,1.34,3.31,3.35,1.07,2.54,1.24,3.53,3.01,2.29,1.23,2.63,1.28,2.14,3.43,4.78,2.38,2.96,0.94,0.49,2.98,2.29,6.04,2.8,2.22,4.37,4.37,2.86,0.42,3.1,1.63,1.19,3.71,1.32,2.72,0.9
April,1.99,0.36,1,3.45,2.52,2.82,1.96,2.26,1,0.48,1.63,1.06,1.71,2.42,1.84,0.83,2.42,1.24,2.74,1.87,1.03,2.2,1.61,1.84,1.55,1.61,1.44,1.12,1.24,0.64,1.28,2.48,1.66,2.54,3.01,3.06,,,,,,,,,1.85,3.56,2.49,3.37,0.63,3.7,0.7,2.93,2.48,1.34,1.08,2.66,4.27,1.78,1.66,3.67,1.88,3.24,1.91,1.7,1.38,1.72,2.61,1.81,3.06,1.85,2.35,2.51,0.55,3.41,0.35,2.19,1.62,2.03,1.87,2.32,2.93,2.61,1.36,5.95,1.91,3.7,3.63,1.72,3.14,2.07,0.94,3.16,1.12,1.23,1.03,2.71,3.3
May,1.72,5.03,1.29,1.3,2.19,1.9,2.23,1.03,1.53,1.75,0.82,2.51,0.35,4.64,2.02,1.77,1.48,2.5,1.62,0.97,2.1,2,4.24,1.46,1.68,2.3,2.55,1.6,4.2,2.29,3.56,0.42,0.63,3.14,3.12,3.25,,,,,,,,,3.06,2.06,2.71,3.35,1.89,3.44,2.54,0.95,3.12,4.01,1.85,1.72,3.73,2.56,3.06,2.1,5.02,6.3,2.35,1.68,1.02,2.73,1.53,2.52,3.36,3.06,3.01,0.96,1.14,1.71,4.65,0.32,1.67,3.84,3.45,3.95,2.1,4.15,1.5,4.3,1.44,2.23,1.43,1.26,2.62,2.56,3.7,2.03,1.92,2.52,3.51,0.88,2.45
June,2.88,0.54,2.14,0.96,0.65,1.43,1.3,2.02,6.93,1.95,1,3.93,4.71,2.6,2.25,3.01,2.11,3.95,3.85,3.38,0.41,1.04,1.74,0.25,0.85,0.45,4.22,1.18,2.83,1.02,3.2,1.14,3.12,4.6,2.29,2.72,,,,,,,,,3.32,2.68,1.52,3.06,5.15,2.48,0.83,0.86,2.55,1.72,1.98,2.49,2.7,0.23,2.64,1.02,3.06,0.32,2.1,3.81,4.2,2.22,2.04,5.43,1.46,2.02,2.18,3.68,4.69,2.09,5.02,3.38,0.83,1.01,0.62,2.62,2.34,4.31,3.28,2.45,4.89,0.79,2.93,1.37,3.08,1.32,4.01,4.45,2.98,1.98,4.86,3.12,1.68
July,1.72,2.8,2.43,3.03,0.39,1.85,1.1,2.24,3.95,4.59,2.24,2.76,2.41,4.25,0.5,6.69,2.62,3.31,7.74,1.25,4.95,2.6,4.42,1.53,5.02,2.52,3.03,2.03,2.31,3.24,3.86,4.01,5.2,1.42,0.63,2.8,,,,,,,,,4.65,5.47,4.07,0.89,3.1,0.77,6.11,5.12,3.57,1.34,4.08,0.78,4.88,3.62,5.8,4.48,6.02,1.52,4.2,4.83,5.18,5.66,2.31,5.35,5.03,3.04,0.98,1.96,3.27,4.6,5.74,6.74,3.44,2.53,3.78,2.87,3.32,3.56,4.95,3.29,2.19,3.62,3.68,2.72,2.36,4.79,5.02,3.25,5.79,4.26,3.18,2.33,5.28
August,3.2,3.53,5.15,4.72,2.75,2.37,1.01,3.19,3.16,4.91,5.23,2.81,3.69,5.95,5.91,3.39,1.03,3.44,3.64,3.72,2.82,1.64,1.84,0.67,2.67,4.38,4.94,6.01,7.62,4.76,3.1,4.84,2.8,4.58,6.37,1.18,,,,,,,,,4.01,2.81,5.55,2.55,5.63,1.97,3.12,2.67,1.78,6.53,4.38,2.86,2.68,6.58,4.58,7.43,3.8,4.45,5.12,4.8,6.11,5.47,7.15,3.64,3.46,2.82,3.2,2.52,3.38,3.92,2.89,2.13,1.38,5.44,5.27,7.43,4.21,1.17,5.12,0.22,4.25,3.14,5.68,6.91,3.74,4.44,4.11,3.84,10.4,3.38,3.87,0.25,3.63
September,4.81,1.56,5.39,3.65,1.79,7.99,4.46,1.81,5.51,2.39,4.06,4.2,4.39,2.34,4.61,4.63,4.02,2.46,2.82,3.46,3.67,5.26,4.41,3.69,1.94,2.54,4.2,5.53,4.97,2.83,0.25,1.3,5.73,4.01,2.55,4.1,,,,,,,,,4.92,3.44,0.54,3.7,1.38,2.28,1.61,1.3,2.66,4.02,7.37,3.63,4.2,1.96,2.3,6.22,5.82,3.92,4.06,7.26,3.43,1.52,2.77,2.32,4.33,2.51,4.26,7.15,4.17,3.14,3.05,2.07,3.79,2,3.75,4.74,3.58,5.16,6.36,2.85,5.46,2.23,10.28,5.92,3.18,5.75,6.22,2.73,3.75,6.9,4.93,2.22,5.35
October,2.34,4.59,1.91,5.45,5.49,3.58,6.59,4.56,6.09,6.13,6.52,4.47,3.57,6.16,3.36,1.94,0.64,2.47,3.11,4.41,3.6,2.64,4.19,1.28,3.91,3.6,2.06,8.46,4.02,5.51,3.62,4.77,3.82,3.82,3.6,2.18,,,,,,,,,1.93,8.22,1.78,3.82,4.65,5.48,1.33,1.72,6.72,6.15,4.65,2.55,1.47,2.67,2.54,8.57,3.88,5.43,3.43,3.44,6.52,6.77,6.48,2.7,8.02,2.68,5.45,5.77,2.68,3.74,9.94,1.51,4.43,5.51,4.08,8.22,3.99,4.82,0.46,0.67,4.07,5.78,2.97,1.02,3.22,1.84,7.06,2.3,4,4.93,4.12,6.33,1.84
