HASTINGS-ORE-THE-FIRS,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ839114,Long,0.61239287,Lat,50.872841,Elevation,408,ft,,,,,,,,,,,,
Station no,RR6735,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.02,1.23,7.15,1.89,3.87,0.37,1.01,1.37,2.83,3.38,2.6,5.17,,,
February,,,,,,0.86,3.02,2.72,1.99,3.9,2.92,2.14,1.44,3.5,1.71,3.71,0.59,,,
March,,,,,0.58,0.79,2.99,2.33,2.09,0.98,0.76,3.38,1.56,1.06,1.88,1.75,1.75,,,
April,,,,,2.09,1.29,1.74,2.5,4.03,3.25,2.26,0.68,2.89,2.01,1.79,2.22,1.6,,,
May,,,,,0.86,0.88,1.43,2.46,3.69,3.11,0.19,1.14,1.94,2.71,0.28,2.49,3.29,,,
June,,,,,1.29,2.04,1.36,2.2,1.39,4.23,3.97,2.74,2.4,1.1,2.79,1.17,1.01,,,
July,,,,,0.43,2.55,0.61,2.78,1.22,3.48,4.14,2.27,3.32,1.98,1.64,0.63,2.48,,,
August,,,,,1.48,2.16,3.64,2.69,9.39,4,0.71,4.33,2.51,0.93,1.57,0.88,1.42,,,
September,,,,,3.58,3.51,3.51,0.94,2.02,3.25,3.38,3.3,3.47,3.99,3.66,4.86,1.65,,,
October,,,,,3.66,4.68,1.87,3.98,3.71,1.16,7.96,3.55,7.83,3.18,2.74,4.6,3.58,,,
November,,,,,1.6,6.56,3.7,7.4,4.2,1.1,4.81,3.66,3.97,5.1,1.36,3.44,5.13,,,
December,,,,,2.51,1.61,7.28,2.7,2.45,1.22,4.95,5.02,3.15,1.69,4.76,1.68,5.16,,,
Total,,,,,,30.95,32.38,39.85,38.07,33.55,36.42,33.22,35.85,30.08,27.56,30.03,32.83,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1874 Feb incomplete month removed,,,,,,,,,,,,,,,,,,,,
