"MITCHELSTOWN CASTLE",,,,,,,,,,,,
Grid ref,IR8084913177,Long,-8.281290,Lat,52.270270,,,,,,,
Station no,RR4010,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.32,5.51,1.92,5.71,5.28,3.62,5.89,1.78,2.68,2.61,,
February,3.11,1.75,5.62,2.57,5.64,2.19,3.21,2.34,2.52,2.19,,
March,0.71,2.71,3.10,6.69,2.94,6.77,2.48,1.75,4.30,3.12,,
April,2.77,2.99,3.42,1.76,2.51,3.97,2.26,3.29,2.33,7.01,,
May,2.74,2.65,2.09,3.75,2.87,1.59,4.08,4.04,2.29,2.54,,
June,5.34,3.33,3.27,3.07,2.46,1.70,2.65,3.91,1.33,1.39,,
July,2.26,0.92,2.89,9.44,3.50,1.35,2.85,3.22,2.52,3.03,,
August,6.11,3.57,4.00,4.89,3.78,6.31,2.51,3.02,4.15,0.91,,
September,1.60,9.09,2.09,5.30,3.76,2.34,1.25,1.54,6.58,2.35,,
October,6.86,3.41,2.65,6.08,2.54,1.35,5.02,6.79,2.76,6.79,,
November,5.74,1.86,6.95,2.78,2.82,3.91,3.19,4.02,3.01,1.15,,
December,4.57,3.31,4.56,5.53,2.39,2.56,4.27,5.85,3.68,4.49,,
Total,47.13,41.04,42.56,57.57,40.49,37.66,39.66,41.55,38.15,37.58,,
Calc annual,47.13,41.10,42.56,57.57,40.49,37.66,39.66,41.55,38.15,37.58,,
Difference,0.00,-0.06,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
