LEEDS-ECCUP-RES (LEEDS ECCUP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE288440,Long,-1.5631,Lat,53.8916,Elevation,343,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.94,2.94,2.26,0.77,3.72,2.57,2.14,3.78,0.88,4.84,2.95,1.48,0.17,0.48,2.24,3.15,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.7,2.69,1.97,2.84,3.24,1.19,1.4,2.22,2.39,2.1,1.29,3.14,2.14,4.16,1.67,1.93,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.78,1.56,1.71,1.09,2.28,2.86,2.01,1.3,4.34,3.27,1.16,1.49,2.08,4,2.17,0.82,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.7,1.9,0.83,3.25,3.35,0.64,1.44,0.67,2.42,4.22,2.44,2.29,2.81,1.47,3.55,2.84,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.21,5.69,1.36,0.97,1.44,2.82,0.72,1.38,0.85,2.24,4.55,1.31,2.33,1.52,1.33,1.19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.22,0.73,1.54,3.7,4.74,1.33,0.58,2.36,2.1,1.99,4.06,5.08,2.87,2.16,4.09,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.3,0.57,0.8,3.58,5.31,3.01,1.89,3.06,2.2,4.79,0.7,4.57,4.86,2.49,3.36,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.12,1.57,1.93,1.19,3.18,2.65,2.4,2.57,2.27,4.03,7.09,3.53,1.45,4.29,1.58,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,3.65,4.7,1.05,6.7,3.95,2.08,2.25,3.01,3.76,3.06,3.26,1.59,4.09,2.55,1.71,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.85,1.32,7.26,3.25,5.41,2.18,2.51,4.39,3.12,3.92,2.44,0.85,5.43,3.53,3.67,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.34,2.06,2.19,1.04,4.31,2.11,2.69,4.13,3.33,2.77,3.03,1.37,2.4,2.81,2.75,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,6.99,4.39,3.39,1.44,3.94,0.5,2.94,1.25,7.28,2.46,1.74,1.52,4.05,2.78,4.05,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,28.8,30.12,26.29,29.82,44.87,23.94,22.97,30.12,34.94,39.69,34.71,28.22,34.68,32.24,32.17,29.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
