LEEDS-ECCUP-RES (GOODRICK HOUSE) (SOUTH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE296414,Long,-1.5508,Lat,53.8681,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.45,2.59,4.03,3.86,1.47,3.92,1.83,0.78,1.11,3.15,1.37,1.48,1,2.85,3.75,0.65,2.13,1.2,3.69,4.16,1.76,1.42,1.95,2.8,0.7,3.37,0.87,1.09,1.23,2.75,0.92,4.88,3.42,1.5,3.55,1.36,2.55,1.9,4.26,3.24,4.05,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,4.02,1.93,2.29,2.52,2.65,0.62,0.86,0.37,1.35,1,0.06,2.18,2.72,4.36,0.32,0.78,2.78,1.92,1.6,4.59,1.39,1.45,1.73,3.37,1.28,1.94,1.66,1.33,0.66,2.73,2.12,2.04,0.84,1.67,3.55,4.15,0.6,2.67,2.06,1.62,0.2,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,3.48,2.61,0.9,1.95,1.68,1.85,1.27,2.78,1.98,1.99,1.38,1.05,0.56,1.78,2.31,3.06,3.33,0.85,1.23,0.58,1.8,0.87,3.42,1.87,2.27,1.52,1.78,3.47,3.29,0.54,1.29,3.7,3.25,3.11,0.93,4.26,2.46,1.43,4.54,2.12,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.49,3.69,2.81,2.17,1.49,1.98,1.65,2.76,3.24,0.93,1.61,1.59,0.77,3.22,1.95,1.34,1.86,2.73,1.68,0.92,2.89,1.62,1.32,1.7,2.3,0.76,1.54,2.9,3.04,2.33,1.12,0.39,3.01,1.39,1.05,1.35,1.35,0.7,1.58,4.87,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.59,1.46,1.33,1.21,2.33,4.73,1.99,0.82,3.27,2.85,1.73,3.07,2.77,1.79,0.58,0.56,1.3,2.16,3.26,1.21,1.07,3.06,3.4,2.67,0.8,2.09,3.77,2.42,1.83,2.24,0.93,3.69,2.5,1.12,1.88,2.57,2.29,2.99,1.62,3.15,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.31,4.23,3.27,0.9,2.97,0.86,0.06,2.23,0.32,2.48,1.28,4.87,1.61,2.78,3.15,4.43,3.69,1.75,1.28,3.75,1.13,1.63,1.89,1.29,1.35,1.08,3.39,1.12,3,2.27,4.38,5.42,1.95,2,1.93,2.07,1.38,0.97,1.26,2.43,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.57,3.62,3.6,3.68,1.22,3.47,1.4,5.42,1.55,1.76,3.51,1.37,3.41,2.67,6.1,1.71,0.76,0.75,1.37,2.73,1.31,2.33,2.97,2.35,1.22,1.41,2.3,3.1,3.58,3.08,0.57,4.99,0.74,4.21,3.9,1.75,1,3.81,3.31,6.65,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,4.41,1.77,2.1,1.14,1.1,2.96,1.81,2.35,4.21,4.6,3.78,3.33,2.57,2.43,2.44,2.3,3.18,3.43,1.58,4.62,1.45,3.69,3.17,3.25,4.15,1.82,1.75,1.47,2.99,3.7,2.05,6.02,1.55,2.46,3.07,2.12,5.27,2.47,2.82,1.71,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.63,1.77,4.68,1.55,3.44,1.55,3.17,0.55,1.15,2.04,1.69,1.67,1.34,0.81,0.95,3.62,2.67,0.72,3.28,0.68,1.68,1.14,3.9,1.14,1.39,0.59,0.92,2.63,1.5,0.25,2.86,1.64,1.37,1.41,0.83,2.2,0.91,7.39,1.38,1.21,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,3.68,3.9,3.05,1.33,4.94,4.61,2.06,0.57,4.12,0.77,4.27,6.88,2.56,4.47,3.97,3.91,1.77,4.32,2.54,3.47,1.92,2.98,7.48,0.66,1.86,4.82,6.06,1.62,2.29,3.43,2.95,3.02,3.61,2.32,1.39,5.19,4.16,2.12,3.64,1.93,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
