LEEK-SWAINSMOOR,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK023614,Long,-1.9670649,Lat,53.149734,Elevation,993,ft.,,,,,,,,,,,,,
Station no,2374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.53,3.95,4.34,7.23,3.09,4.57,6.55,3.81,2.05,3.48,,,,,,
February,,,,,,6.1,3.66,2.79,4.39,0.75,0.68,5.41,0.4,4.39,0.47,,,,,,
March,,,,,,1.79,2.42,5.13,2.54,0.74,2.68,0.25,2.83,3.62,3.37,,,,,,
April,,,,,,1.94,1.85,4.48,1.54,1.39,3.53,5.94,4.06,1.5,2.75,,,,,,
May,,,,,,5.53,5.09,2.07,1.11,2.3,2.1,3.86,4.16,1.75,2.15,,,,,,
June,,,,,,0.22,3.51,4.08,5.07,2.9,3.15,6.37,0.95,3.97,2.33,,,,,,
July,,,,,,2.58,3.62,5.05,2.45,4.06,7.64,4.36,4.14,3.55,2.51,,,,,,
August,,,,,,3.66,3.58,4.95,5.74,5.28,5.32,7.57,2.43,0.93,3.16,,,,,,
September,,,,,,6.02,3.21,6.28,0.94,2,5.27,5.14,3.24,0.99,3.51,,,,,,
October,,,,,,5.82,3.38,3.52,5.64,5.71,6.7,,7.25,6.11,4.65,,,,,,
November,,,,,,3.23,6.14,4.47,7.63,8.58,4.71,6.05,3.55,2.49,2.29,,,,,,
December,,,,,3.35,3.22,2.87,3.08,3.31,7.17,3.95,2.45,1.49,0.61,6.54,,,,,,
Total,,,,,,43.64,43.28,50.24,47.59,43.97,50.3,,38.31,31.96,37.21,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is near Swainsmoor at the stated altitude. Swainsmoor is 100m E,,,,,,,,,,,,,,,,,,,,,
