LOCH FANNICH (THE NEST),,,,,,,,,,
Grid ref,NH 16349 67810,Long,-5.080276,Lat,57.662598,Elevation,850,ft,,
Station no,5773/7/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,9.32,11.2,,,
February,,,,,,5.6,4.05,,,
March,,,,,2.1,3.05,5.5,,,
April,,,,,3.65,4.2,2.4,,,
May,,,,,4.53,6.1,2.5,,,
June,,,,,3.57,3.85,4.4,,,
July,,,,,1.7,7,5.35,,,
August,,,,,1.4,7.45,8.8,,,
September,,,,,9.35,4.75,8.65,,,
October,,,,,11.65,9.45,10.6,,,
November,,,,,3.95,9.95,,,,
December,,,,,10.98,13.15,,,,
Total,,,,,,83.87,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
G moved 2/55,,,,,,,,,,
1955-57 Transcribed,,,,,,,,,,
Site now submerged,,,,,,,,,,
1956 P in BR,,,,,,,,,,
,,,,,,,,,,
Station no,5773/7/1,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,789036,,,,,,,,,
