CLUANIE DOWN,,,,,,,,,,,,
Grid ref,NH192100,Long,-4.989986,Lat,57.145187,,,,,,,
Station no,5711/41,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,-999.00,20.55,9.40,3.97,5.50,,
February,,,,,,,6.74,4.92,6.69,6.62,,
March,,,,,,,5.29,1.83,5.81,1.08,,
April,,,,,,,2.77,5.63,6.27,7.24,,
May,,,,,,,2.64,6.52,1.59,2.45,,
June,,,,,,,3.35,2.11,6.11,-999.00,,
July,,,,,,,6.00,2.97,7.69,3.61,,
August,,,,,,,7.73,4.22,4.46,6.00,,
September,,,,,,,5.47,5.24,2.82,5.17,,
October,,,,,,,12.50,10.81,11.17,1.69,,
November,,,,,,-999.00,2.40,1.94,10.31,7.24,,
December,,,,,,18.36,17.65,6.40,12.95,12.12,,
Total,,,,,,-999.00,93.09,61.99,79.84,61.67,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.36,93.09,61.99,79.84,58.72,,
Difference,NaN,NaN,NaN,NaN,NaN,-1017.36,0.00,0.00,0.00,2.95,,
