DAWLISH BURROWS RESERVOIR,,,,,,,,,,,,
Grid ref,SX949777,Long,-3.486087,Lat,50.589540,,,,,,,
Station no,RR8390,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.40,5.62,1.78,0.95,1.36,,
February,,,,,,1.04,3.80,1.19,1.27,0.53,,
March,,,,,,5.59,0.96,0.72,3.46,5.18,,
April,,,,,,2.54,1.23,4.34,2.37,2.01,,
May,,,,,2.48,1.35,1.93,2.63,1.60,1.24,,
June,,,,,1.29,2.60,1.14,2.07,0.45,3.81,,
July,,,,,5.48,0.61,0.75,1.72,1.20,2.16,,
August,,,,,3.39,5.58,1.53,0.47,3.15,1.83,,
September,,,,,1.77,1.59,0.99,0.47,2.58,1.59,,
October,,,,,2.26,1.19,6.23,7.48,2.55,6.13,,
November,,,,,1.31,5.68,2.87,3.27,1.00,0.69,,
December,,,,,2.60,0.70,1.60,5.11,3.70,5.19,,
Total,,,,,,29.87,28.65,31.25,24.28,31.72,,
Calc annual,0.00,0.00,0.00,0.00,20.58,29.87,28.65,31.25,24.28,31.72,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,,
