DAWLISH-BURROWS-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX949777,Long,-3.486087,Lat,50.58954,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.4,5.62,1.78,0.95,1.36,,1.05,3.85,7.53,1.5,,1.43,,,,,,4.48,,,,,,,,
February,,,,,,1.04,3.8,1.19,1.27,0.53,,1.56,3.12,1.5,4.3,,6.08,,,,,,3.37,,,,,,,,
March,,,,,,5.59,0.96,0.72,3.46,5.18,,2.8,4.21,3.8,4.25,,3.62,,,,,,3.08,,,,,,,,
April,,,,,,2.54,1.23,4.34,2.37,2.01,,0.73,0,4.42,1.48,,1.17,,,,,,3.75,,,,,,,,
May,,,,,2.48,1.35,1.93,2.63,1.6,1.24,,1.06,1.46,2.25,2.25,,1.41,,,,,,0.49,,,,,,,,
June,,,,,1.29,2.6,1.14,2.07,0.45,3.81,,2.89,4.36,0.42,2.3,,2.04,,,,,,0.81,,,,,,,,
July,,,,,5.48,0.61,0.75,1.72,1.2,2.16,,0.66,3.34,0.41,2.63,,0.67,,,,,,3.01,,,,,,,,
August,,,,,3.39,5.58,1.53,0.47,3.15,1.83,,0.76,4.73,0.8,2.26,,4.35,,,,,,3.17,,,,,,,,
September,,,,,1.77,1.59,0.99,0.47,2.58,1.59,,1.48,0.93,2.32,2.96,,3.19,,,,,,2.16,,,,,,,,
October,,,,,2.26,1.19,6.23,7.48,2.55,6.13,,3.58,4.71,4.98,2.09,,4.76,,,,,,1.3,,,,,,,,
November,,,,,1.31,5.68,2.87,3.27,1,0.69,,3.38,1.77,3.49,3.63,,4.62,,,,,,2.38,,,,,,,,
December,,,,,2.6,0.7,1.6,5.11,3.7,5.19,,8.89,3.46,2.21,9.34,,4.04,,,,,,5.92,,,,,,,,
Total,,,,,,29.87,28.65,31.25,24.28,31.72,36,28.84,35.94,34.13,38.99,,37.38,,,,,,33.92,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrows Res marked on OS map Elevation 420ft too high for area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 No note as to why no monthly data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Gauge leaky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
