"EGGLESCLIFFE (CRANBOURNE)",,,,,,,,,,,,
Grid ref,NZ419133,Long,-1.354327,Lat,54.513279,,,,,,,
Station no,3506,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.57,2.06,0.99,2.11,1.98,2.94,1.62,1.79,2.35,3.99,,
February,2.41,0.54,2.37,1.59,1.48,1.97,1.72,3.18,0.64,1.87,,
March,3.21,1.14,0.13,1.41,1.33,0.44,0.81,1.69,0.65,1.68,,
April,1.79,1.76,1.81,0.22,0.84,0.73,0.19,1.38,1.27,0.76,,
May,4.33,1.49,2.07,2.97,1.92,0.40,1.07,2.69,0.47,0.57,,
June,1.47,1.04,2.68,2.39,2.51,3.03,2.60,2.76,1.62,0.52,,
July,2.76,1.44,3.57,1.57,1.06,3.08,5.32,2.43,1.07,4.75,,
August,3.23,1.86,3.32,5.35,0.66,7.02,2.93,3.25,0.09,3.56,,
September,1.33,4.04,1.41,1.65,1.31,2.26,3.24,2.42,0.87,2.61,,
October,1.64,2.71,1.43,4.35,1.68,1.34,1.69,1.29,1.12,5.37,,
November,5.84,2.79,1.62,3.73,1.96,0.75,1.62,0.98,3.19,2.57,,
December,3.92,1.83,0.93,1.62,2.64,1.71,1.95,2.21,2.61,2.57,,
Total,34.50,22.70,22.33,28.96,19.37,25.67,24.76,26.07,15.95,30.82,,
Calc annual,34.50,22.70,22.33,28.96,19.37,25.67,24.76,26.07,15.95,30.82,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
