NEWRY EDWARD ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ084267,Long,-6.340241565,Lat,54.17831611,Elevation,22,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.8,7.89,3.31,3.67,1.47,0.61,2.09,4.45,4.55,2.13,3.42,4.25,2.78,4.4,4.62,1.85,2.48,2.88,5.18,2.8,1.73,,,
February,,,,,,,3.81,2.35,1.96,2.46,2.67,4.72,2.8,4.47,3.7,3.78,2.18,1.18,0.35,3.05,1.58,0.3,2.25,3.3,3.83,0.45,1.76,,,
March,,,,,,,3.73,3.87,1.23,1.85,2.82,4.05,3.06,1.46,3.46,2.35,3.99,1.02,3.81,3.28,3.67,1.53,0.47,1.21,1.65,4.1,4.29,,,
April,,,,,,,2.89,4.86,2.7,1.56,4.01,1.92,3.69,1.42,2.36,3.38,1.99,2.29,2.48,3.88,1.8,4.1,0.7,1.1,3.13,3.25,1.08,,,
May,,,,,,,0.36,3.43,4.49,3.11,0.9,3.12,3.62,2.19,2.42,1.76,4.1,1,2.81,4.66,1.68,2.5,3.75,1.3,1.77,0.15,0.1,,,
June,,,,,,,2.68,2.93,2.34,5.81,3.08,4.64,3.46,2.17,0.99,0.8,1.68,0.62,3.74,0.13,2.85,2.35,3.24,1.95,2.6,2.14,3.18,,,
July,,,,,,,1.41,3.36,0.79,4.89,4.34,1.81,5.14,3.35,2.93,1.77,4.17,2.89,6.59,3.61,2.23,2.12,3.5,1.95,3.13,4.35,6.65,,,
August,,,,,,,4.16,4.09,3.21,3.56,0.99,4.41,4.4,3,1.51,1.55,1.78,2.6,2.67,7.05,2.96,6.64,6.9,3.65,2.5,6.5,3.15,,,
September,,,,,,,3.82,2.29,4.43,5.01,3.42,2.46,3.69,5.87,3.13,4.69,2.64,2.62,0.8,1.62,3.66,2.77,3.47,1.33,0,0.45,5.92,,,
October,,,,,,4.04,5.35,4.58,3.6,1.62,1.42,3.76,2.58,3.28,2.43,3,5.86,2.7,1.24,3.45,2.43,4.9,3.95,1.75,5.94,2.63,1.91,,,
November,,,,,,4.23,4.29,5.62,1.51,0.91,3.51,5.45,5.64,3.34,2.68,2.15,2.83,2.92,6.44,2.61,7.03,5.45,4.9,2.15,3.65,5.2,1,,,
December,,,,,,2.78,10.45,4.49,1.27,2.18,2.53,4.38,4.06,1.69,3.16,1.05,5.01,4.18,5.16,3.29,2.44,6.35,1.15,3.95,3.94,4.5,4.42,,,
Total,,,,,,,44.75,49.76,30.84,36.63,31.16,41.33,44.23,36.69,33.32,28.41,39.65,28.27,38.87,41.03,36.95,40.86,36.76,26.52,37.32,36.52,35.19,,,
