"THUNDERSLEY RESERVOIR",,,,,,,,,,,,
Grid ref,TQ791890,Long,0.582987,Lat,51.571419,,,,,,,
Station no,1276,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.58,1.51,0.88,1.31,2.48,3.23,,,,,,
February,4.80,0.90,1.12,1.86,1.54,0.45,,,,,,
March,2.19,3.07,0.32,2.07,1.11,0.59,,,,,,
April,2.73,0.86,2.14,0.30,0.17,1.34,,,,,,
May,2.29,1.39,1.32,1.77,4.23,0.31,,,,,,
June,0.89,1.92,1.91,2.70,1.88,1.63,,,,,,
July,2.92,0.77,3.25,2.18,1.07,2.82,,,,,,
August,2.93,2.14,1.56,3.07,0.75,3.01,,,,,,
September,2.52,3.92,1.82,1.29,2.39,1.76,,,,,,
October,0.69,2.31,1.98,1.69,3.68,1.14,,,,,,
November,3.44,4.42,0.73,3.25,0.83,0.48,,,,,,
December,1.29,2.13,0.80,1.04,1.38,2.27,,,,,,
Total,28.27,25.34,17.83,22.53,21.51,19.03,,,,,,
Calc annual,28.27,25.34,17.83,22.53,21.51,19.03,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
