GLENGYLE OLD SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN388133,Long,-4.605699,Lat,56.284688,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,12,1.8,4.7,12,9,14.3,10.5,11.1,13.1,15.9,9.4,7.6,14.4,7.5,17,13.7,6.7,8.4,16.8,16.4,15.7,18.6,10.2,17.8,7,1.5,6.1,0.5,11.1,14.6,12.5,9,9.7,12,6.1,9.7,15.6,8.4,11.2,6.9,21.5,2.4,6,1.7,11.7,11.7,13.4,6.2,6.4,17.8,7.4,8.1,14.3,8,10.1,10.3,10.3,5.7,7.8,7.4,7.3,8.7,18,3.35,10.85,8.25,14.8,17.8,9.9,11.8,9.7,10.7,17.6,14.6,22.1,3.3,17.15,8,20.2,11.7,17.2,5.1,8.55,16.45,18.3,6.9,3,1.5,8.5,11.16,10.61,3.22,13.99,11.68,11.77,11.64,7.74,9.51,6.3,6.16,8.4,6.3,5.03,15.1,11.69,,
February,,,,,9.5,1.2,10.8,10.5,2.5,11,14.5,11.8,4,11.8,7.2,7.5,11.5,9.1,17.4,11.7,9.6,11.1,12.6,1.8,4.1,3,11.3,6.7,8.1,0.9,14.2,1.5,13.9,13.4,10.4,13.5,3.9,8.1,1.1,5.2,1.1,2.9,2.5,10.9,23.2,1.5,5.3,10.1,11.8,8.1,4.1,2.8,2.3,17.4,7,6.5,2.5,9,7,3.3,9.7,12.5,9,8.4,16,14.7,10,1.5,14.35,1.6,17.35,2.9,10.6,12.2,2.8,8.8,9.95,5.6,11.4,3.2,1.45,8.7,0.15,7.95,2.55,14.5,5.4,9.3,9,13,3.8,8.8,3.35,11.4,4.08,14.62,6.62,1.53,11.3,11.42,11.89,6.63,3.02,5.04,8.66,4.19,2.27,8.8,,,
March,,,,,7.4,7.5,0.7,7.3,3.3,14.5,11.2,15.2,4.5,8,6.8,4.2,7.6,3.8,,2.9,1.8,9.4,7.3,4.5,12.1,3.1,10.2,4.1,4.1,7.8,3.4,10.8,10.6,3.6,8.3,5.6,8.4,3.8,6.4,4.1,9.4,6.2,0.9,4.1,8.9,9.5,10.5,12.5,4.2,9.9,0.9,5.7,8.3,19.1,8.2,12.7,6,8,9.9,2.3,4.5,2.9,11.3,11.5,10.5,6.2,4.5,3.7,3.2,7.05,9.75,16.2,3.85,5.6,1.1,3.75,8.8,7.3,14,1.7,6.3,1.7,4.75,7.05,5.95,4.05,5.95,3.6,10.6,7.6,7.9,3.2,5.4,5.6,1.55,9.17,6.13,5.23,10.24,3.96,6.5,5.48,9.52,3.44,6.92,2.52,4.82,8.36,,,
April,,,,,2.6,6.1,4.7,7.8,5.5,5.5,2.8,1.3,9,6.8,3.5,2.5,5.8,12.8,,3.8,4.8,5.8,3.2,0.7,6.3,4.1,4.2,2.9,4.4,3.9,8.5,2.9,8,3.2,3.6,5.6,4.4,3.3,8,9.4,3.3,3.7,2.5,2.5,2.1,4.7,4.4,7.5,9.5,8.1,5.3,4.9,4.2,1.5,11.6,4.1,3.2,4.7,2.7,6.1,8.5,9.9,4.3,8.8,8.7,7.3,6.2,2.55,2,6,4,2.4,4.5,7.1,5.6,9.7,4,7,5.6,2,3.05,4.1,9.2,5,8.2,5.85,3.7,4.4,1.1,5.4,4.7,4.1,5.28,8.03,5.56,4.11,2.85,14.57,6.29,10.63,6.94,8.15,4.28,5.74,4.24,6.38,5.54,3.92,,,
May,,,,,8.8,3.2,4.6,6,8.2,0.3,6.2,2.1,6.7,4.7,2,5.7,2.3,4,,1.6,10.4,2.5,5.2,4.9,4.8,7.1,0.4,8,8.9,9.6,1.1,3.6,2,8,9.2,4,4.9,0.8,9.5,7.1,4.7,2.4,11.5,3,2.5,3.1,0.3,3.5,2.3,3.6,9.6,3.1,4.2,2.4,7.6,3.9,6.8,5.9,3.4,6.9,3.5,4.2,3.8,7.9,3.1,1.3,7.8,5,3.7,2.15,11.1,7.55,8.7,3.8,7.8,11.9,5.3,4.3,1.75,7.25,3.85,7.2,4.6,3.95,5.7,0.75,3.05,4,5.3,1.8,1.9,3.2,5.55,5.67,6.73,7.24,2.32,6.05,2.51,5.04,3.45,2.07,2.19,5.92,4.91,5.73,6.23,4.08,,,
June,,,,,9.4,3.7,9.9,4,6.4,2.9,9.4,5,7.3,6.6,7.8,2.2,5.7,4.6,,4.2,3.4,3.8,10.7,6.4,3.1,6.4,9.8,3.8,5.3,14.7,6.6,8.9,6.9,4.7,2.7,2,2.7,1.1,4,1.7,10,5.4,5.7,4.1,3.4,3.4,4.9,7.8,4.5,5.8,7.3,5.1,1.9,4,5.3,2.1,1.5,7.4,4.6,3.3,6.5,4.4,6.3,7.1,1.3,2.2,3.1,4.35,3.7,6.1,3.55,1,3.6,2.75,5,2.4,5.4,7.25,7.8,5.3,4.3,8.5,3.6,3.35,3.55,7.75,3.1,5.6,10.5,4,1.5,1.3,3.07,8.05,5.7,8.52,7.32,5.92,7.45,2.52,4.2,4.08,7.56,2.44,5.65,4.4,5.37,3.33,,,
July,,,,5,4.7,3.2,9.1,5.2,7.8,4.6,2.1,5.6,10.9,0.5,6.1,5.3,4.2,6.7,1.95,6,3.4,8.5,7,11,7.2,1.1,6.3,11.2,1.1,5.8,4.6,11.5,8.6,4.4,7.1,3.9,5,6.2,6.2,2.5,9.2,2.3,3.9,6.8,6.2,5.9,5.1,7.1,2.1,5.8,7.9,4.6,4.6,6.5,5.5,5.8,6,3.5,4.5,4.6,8.9,4.8,3.9,1.1,3.7,6,3.3,2.55,4.65,2.3,5.6,6.9,7.5,8.5,10.8,3.55,4.65,5.8,7.2,6.95,3.75,7,7.35,6,4.5,3.1,9.25,6.6,7.6,10,4.3,3.9,6.46,4.29,4.28,5.17,6.51,7.15,8.03,3.16,10.68,5.36,4.06,9.03,4.26,1.42,6.95,6.53,,,
August,,,,4.7,6.7,10.3,6.3,4.2,7.3,7.9,7.5,17.2,5.8,9,3.8,8.3,11.6,13.5,11.95,1.3,1.6,7.3,9.8,9.7,10.1,10,6.9,20.1,8.6,8.3,3.2,2.5,6.2,9.3,8,7.4,7.5,8.1,8.3,8.8,7.4,11.5,13.6,10.9,5.8,11,4.4,12.2,11.4,2.9,6.3,5.2,4.1,16,6.6,6.6,9.1,13.3,8.5,4.4,18.5,10.7,5.5,1.8,6.6,3.6,4.4,11.6,6.3,5.15,6.5,8.1,6.3,11.8,7.15,7,8.1,8.4,9.5,10.05,8.55,2.3,5,7.05,7.25,5.65,5.15,5.6,4.8,3.85,4.3,7.1,10.1,10.27,6.96,3.44,7.69,0,11.43,7.78,10.06,8.88,6.93,5.95,8.14,1.54,7.25,6.76,,,
September,,,,7.7,6.1,3,5.5,4,8.2,10.5,5.8,12,4.3,9.2,12.1,4.9,8.4,11.3,3.6,14,7.7,3.4,12.8,6.5,14,8.2,3.2,5.5,17.3,16.7,3.2,3.1,7.1,4.2,7.8,15.5,10.5,1.9,3,3.1,9.8,15.1,13.6,7.8,0,6.2,11.7,6.1,10.1,10,13.5,12.8,6.2,9.7,9.9,5,4.6,2.8,17.3,3,3.1,4.5,3.5,4.4,5.1,2.7,2.6,7.4,9.3,8.9,5.15,4.05,4.5,12.95,9.9,4.5,6.2,7.6,6.95,3.45,7.1,2.95,5.95,2.35,12.4,12.3,5.7,7.8,8.8,5.6,6.2,3.4,11.41,7.6,6.75,10,11.26,10.02,10.92,4.59,17.17,7.3,4.69,11.98,11.32,8.26,9.25,5.03,,,
October,,,,14.5,12.2,13.5,7.2,7.7,9.7,5.6,14.1,10.3,16.7,8.8,6.4,6.6,4.4,11.6,12.6,5.7,13.9,9,9,13.4,17.3,7.9,14.1,18.1,11,5.3,0.2,7.5,7.7,7.2,13.8,6.5,10.2,6.9,9.6,8.4,9.2,14.1,7.2,13.6,5.4,4.1,6.4,6.6,8.1,13.5,8.9,10.5,7.1,19.1,5.8,4.8,13.5,6,3,16.1,4.5,7.3,10.7,6,4.2,6.5,15.7,15.8,14.75,2.65,6.1,9.4,5.15,16.1,6.5,8.65,10.4,11.7,14.4,11.55,14.95,9.15,11.75,6.8,14.55,18.65,10.85,3.5,17.5,6,10.7,8.6,12.38,20.52,9.18,8.51,0.95,6.58,14.08,13.38,11.93,3.39,9.48,8.22,15.86,8.03,6.32,9.23,,,
