"GLENGYLE",,,,,,,,,,,,
Grid ref,NN388133,Long,-4.605699,Lat,56.284688,,,,,,,
Station no,5522,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,13.40,6.20,6.40,17.80,7.40,8.10,14.30,8.00,10.10,10.30,,
February,4.10,2.80,2.30,17.40,7.00,6.50,2.50,9.00,7.00,3.30,,
March,0.90,5.70,8.30,19.10,8.20,12.70,6.00,8.00,9.90,2.30,,
April,5.30,4.90,4.20,1.50,11.60,4.10,3.20,4.70,2.70,6.10,,
May,9.60,3.10,4.20,2.40,7.60,3.90,6.80,5.90,3.40,6.90,,
June,7.30,5.10,1.90,4.00,5.30,2.10,1.50,7.40,4.60,3.30,,
July,7.90,4.60,4.60,6.50,5.50,5.80,6.00,3.50,4.50,4.60,,
August,6.30,5.20,4.10,16.00,6.60,6.60,9.10,13.30,8.50,4.40,,
September,13.50,12.80,6.20,9.70,9.90,5.00,4.60,2.80,17.30,3.00,,
October,8.90,10.50,7.10,19.10,5.80,4.80,13.50,6.00,3.00,16.10,,
November,7.70,6.50,6.10,9.50,3.50,9.00,8.40,6.50,6.70,4.30,,
December,19.10,9.30,10.50,6.50,10.40,8.50,5.80,10.00,10.40,11.10,,
Total,104.00,76.70,65.90,129.50,88.80,77.10,81.70,85.10,88.10,75.70,,
Calc annual,104.00,76.70,65.90,129.50,88.80,77.10,81.70,85.10,88.10,75.70,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
