GLENGYLE NEW SITE,,,,,,,,,,
Grid ref,NN388133,Long,-4.605699,Lat,56.284688,Elevation,380,ft,,
Station no,5522/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,14.79,11.17,3.54,6.78
February,,,,,,,8.71,4.69,4.57,8.81
March,,,,,,,8.61,2.34,8.52,4.74
April,,,,,,,4.16,4.4,6.2,10.35
May,,,,,,,4.1,6.85,2.06,5.41
June,,,,,,,3.29,4.57,4.72,3.8
July,,,,,,,6.57,4.97,7.97,7.34
August,,,,,,,6.84,9.31,4.18,4.63
September,,,,,,,5.04,7.78,2.25,4.74
October,,,,,,,9.31,8.35,10.89,5.84
November,,,,,,,4.21,3.24,10.57,12.15
December,,,,,,13.21,14.52,11.5,18.85,11.93
Total,,,,,,,90.15,79.17,84.32,86.52
