CHESTERFIELD-ST-THOMAS-BRAMPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK362706,Long,-1.4591604,Lat,53.231211,Elevation,314,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.23,3.27,3.45,2.77,2.87,1.88,1.07,4.13,,1.68,2.79,1.42,5.35,2.28,,,0.49,2.44,4.19,1.96,2.14,4.07,,,
February,,,,,,2.44,3.8,2.63,2.24,2.53,1.95,2.08,2.5,,1.87,0.69,2.78,2.27,1.28,,,5.01,2.08,2.94,1.34,3.25,0.62,,,
March,,,,,,1.07,1.98,2.91,2.63,2.16,2.51,1.49,2.45,,1.42,0.94,4.28,2.18,0.57,,,2.05,1.57,1.15,2.01,1.35,2.63,,,
April,,,,,1.96,1.95,1.08,3.88,2.36,1.86,0.72,2.63,3.26,,1.41,0.6,2.02,2.79,1.46,,,1.1,3.78,2.72,2.53,1.24,1.56,,,
May,,,,,1.25,3.22,0.99,2.85,1.44,5.72,1.28,1.32,2.74,,0.84,0.84,0.7,3.94,4.09,,,1.2,1.63,1.09,1.2,1.44,7.33,,,
June,,,,,1.11,1.47,3.84,2.09,0.39,0.81,0.94,4.69,3.83,,0.78,2.21,2.16,1.68,2.79,,,0.85,2.91,3.17,0.63,2.56,1.07,,,
July,,,,,0.49,2.87,3.48,3.36,0.15,0.12,0.8,3.24,4.95,,0.2,4.48,1.41,2.22,0.67,,,1.61,4.44,2.03,2.73,0.45,3.47,,,
August,,,,,1.28,3.99,2.95,3.87,2.91,1.06,0.89,1.32,3.13,,1.79,3.72,1.93,4.5,7,,,4.67,1.95,0.99,1.77,2.66,2.97,,,
September,,,,,2.96,0.18,5.3,2.31,2.11,4.68,1.24,5.99,4.28,,1.79,2.92,3.43,2.95,2.1,,,1.15,1.87,5.34,1.67,2.32,1.17,,,
October,,,,,3.19,6.64,2.97,2.46,2.97,1.17,6.16,2.96,5.28,,3.2,5.42,3.17,1.98,3.49,,,3.26,4.62,3.66,1.05,5.56,5.26,,,
November,,,,,3.86,3.15,3.93,1.11,1.35,2,1.96,1.21,4,,2.82,2.61,2.52,3.34,3.09,,,3.34,5.18,2.89,1.15,2.6,1.44,,,
December,,,,,2.17,1,2.84,1.79,9.22,4.82,2.4,1.53,4.34,,2.31,1.26,6.23,2.52,1.32,,,2.44,5.89,1.87,2.15,1.23,4.18,,,
Total,,,,,,31.21,36.43,32.71,30.54,29.8,22.73,29.53,44.89,,20.11,28.48,32.05,35.72,30.14,,,27.17,38.36,32.04,20.19,26.8,35.77,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the church St Thomas Brampton the observer was reverend Mello. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
