RICHMOND FORCETT PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ172124,Long,-1.735886,Lat,54.506626,Elevation,351,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,2.67,1,0.38,0.61,1.46,3.62,4.27,2.04,4.59,2.52,1.03,0.8,3.43,1.2,1.61,2.2,2.23,4.93,1.04,1.75,1.25,3.32,3.25,1.84,1.09,3.5,2.78,0.82,3.46,0.84,1.14,1.66,3.25,1.66,3.72,4.49,1.81,,,,,
February,,,,,,,,,1.6,3.45,2.42,3.76,1.23,2.73,1.22,2.13,0.84,0.99,1.23,1.35,1.34,0.04,3.02,3.19,4.2,1.35,0.26,1.84,1.4,1.75,5.53,1.21,1.63,2.78,2.21,0.92,1.44,1.74,3.69,1.43,3.98,1.83,2.09,1.14,2.43,,,,,
March,,,,,,,,,0.96,1.3,0.76,3.92,2.13,1.79,2.16,2.21,2.76,1.89,4.54,2.9,2.06,2.07,0.97,0.77,1.32,2.7,2.57,3.93,1.71,0.82,1.03,2.53,1.23,3.84,2.44,2.34,1.42,1.38,4.04,5.01,0.84,2.06,2.59,3.84,2.35,,,,,
April,,,,,,,,,1.89,2.4,2.54,1.36,4.48,2.46,1.65,1.89,2.41,0.87,2.24,3.38,1.25,4.2,1.2,0.59,1.83,1.81,1.04,1.72,1.98,2.17,1.42,1.79,2.41,1.05,1.85,3.06,0.68,1.55,2.5,2.03,3.25,1.39,0.05,4.04,0.61,,,,,
May,,,,,,,,,5.7,1.5,1.47,1.19,1.68,1.61,0.46,4.17,4.67,1.66,0.93,2.1,2.15,2.39,2.36,2.51,2.75,0.85,0.58,1.26,2.33,3.98,1.73,1.7,3.07,4.42,3.65,1.09,3.42,3.61,2.36,1.53,2.48,1.41,2.49,2.22,1.52,,,,,
June,,,,,,,,,2.67,4.01,1.83,1.9,3.95,1.9,0.5,1.94,1.16,0.4,2.25,0.16,3,2.03,4.02,0.95,3.9,1.61,4.5,2.43,1.85,1.5,3.11,1.46,1.77,2.16,1.49,2.09,0.73,2.96,0.91,2.25,2.1,3.58,5.87,1.86,4.11,,,,,
July,,,,,,,,3.44,0.57,3.28,5.58,3.12,4.14,2.2,5.07,0.52,4.26,1.59,4.51,2.21,3.28,3.98,1.3,2.89,2.73,6.4,2.23,1.05,0.88,2.84,1.62,4.39,3.85,3.93,1.69,0.8,1.43,2.16,3.06,2.37,3.66,0.45,3.47,1.38,3.43,,,,,
August,,,,,,,,4.32,5.14,3.09,2.12,5.63,2.11,1.66,0.78,1.79,1.17,1.96,1.41,4.11,5.1,4.54,4.19,2.29,2.32,2.33,1.37,1.88,2.03,1.44,5.99,1.82,2.53,2.23,3.36,4.21,2,1.47,1.74,3.34,3.36,2.03,5.51,0.98,2.09,,,,,
September,,,,,,,,2.93,1.59,1.41,4.61,3.55,2.75,4.18,1.79,2.12,2.43,3.18,1.21,0.72,1.86,1.87,2.82,1.21,1.02,0.55,3.71,2.17,0.52,3.1,0.85,1.98,1.12,3.03,1.08,2.58,0.57,0.49,2.85,2.32,0.3,1.93,2.43,2.65,1.86,,,,,
October,,,,,,,,3.14,1.85,0.94,5.4,3.76,3.43,2.58,1.51,4.88,5.23,1.96,0.48,5.4,1.53,3.85,5.21,1.19,5.44,3.1,3.96,1.94,3.37,1.91,4.33,2.1,3.44,8.93,1.24,1.87,4.3,5.29,2.08,2.94,2.33,2.75,2.31,2.99,2.27,,,,,
November,,,,,,,,3.18,5.02,1.91,2.61,3.47,3.84,1.48,1.64,2.42,3.3,3.62,5.66,1.22,4.69,3.09,1.59,2.06,1.41,3.61,1.34,1.43,2.5,2.18,3.95,6.15,2.44,1.43,2.4,5.46,2.78,2.86,1.19,0.65,2.79,4.09,1.77,1.81,4.02,,,,,
December,,,,,,,,2.02,2.25,1.12,4.04,3.5,4.32,1.15,2.47,0.76,3.74,2.32,1.5,1.37,1.47,3.4,0.78,2.87,2.33,2.67,4.34,2.88,2.13,3.13,2.33,3.86,2.78,1.69,2.35,0.59,2.82,3.2,1.01,4.28,3.6,4.88,2.2,1.67,5.41,,,,,
Total,,,,,,,,,31.91,25.41,33.76,35.77,35.52,27.36,23.52,26.87,36.56,22.96,26.99,25.72,31.16,32.66,29.07,22.72,31.48,31.91,26.94,24.28,21.95,28.14,35.14,30.83,27.36,38.99,26.54,25.83,25.05,27.55,26.57,29.81,31.94,28.06,34.5,29.07,31.91,,,,,
