"FORCETT PARK (DARLINGTON)",,,,,,,,,,,,
Grid ref,NZ172124,Long,-1.735886,Lat,54.506626,,,,,,,
Station no,RR1901,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.25,1.84,1.09,3.50,2.78,0.82,3.46,0.84,1.14,1.66,,
February,5.53,1.21,1.63,2.78,2.21,0.92,1.44,1.74,3.69,1.43,,
March,1.03,2.53,1.23,3.84,2.44,2.34,1.42,1.38,4.04,5.01,,
April,1.42,1.79,2.41,1.05,1.85,3.06,0.68,1.55,2.50,2.03,,
May,1.73,1.70,3.07,4.42,3.65,1.09,3.42,3.61,2.36,1.53,,
June,3.11,1.46,1.77,2.16,1.49,2.09,0.73,2.96,0.91,2.25,,
July,1.62,4.39,3.85,3.93,1.69,0.80,1.43,2.16,3.06,2.37,,
August,5.99,1.82,2.53,2.23,3.36,4.21,2.00,1.47,1.74,3.34,,
September,0.85,1.98,1.12,3.03,1.08,2.58,0.57,0.49,2.85,2.32,,
October,4.33,2.10,3.44,8.93,1.24,1.87,4.30,5.29,2.08,2.94,,
November,3.95,6.15,2.44,1.43,2.40,5.46,2.78,2.86,1.19,0.65,,
December,2.33,3.86,2.78,1.69,2.35,0.59,2.82,3.20,1.01,4.28,,
Total,35.14,30.83,27.36,38.99,26.54,25.83,25.05,27.55,26.57,29.81,,
Calc annual,35.14,30.83,27.36,38.99,26.54,25.83,25.05,27.55,26.57,29.81,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
