WINCHESTER-SHAWFORD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU467245,Long,-1.33529,Lat,51.01805,Elevation,250,ft,,,,,,,,,,,,,
Station no,711,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,5.76,2.3,6,1.49,5.13,2.36,2.92,2.36,2.8,0.69,6.19,6.94,3.79,,
February,,,,,,,1.86,4.45,2.51,0.96,1.16,2.28,0.06,4.36,0.08,4.16,3.19,6.02,0.64,,
March,,,,,,,0.59,3.6,3.09,0.06,1.38,0.52,2.08,4.26,3.4,0.88,2.33,3.68,0.3,,
April,,,,,,,3.18,2.13,1.79,0.89,2.6,3.38,3.47,1.37,2.52,4.16,2.29,2.51,0.02,,
May,,,,,,,1.42,0.7,1.16,2.08,1.99,3.06,5.98,2.22,1.07,0.94,0.3,2.93,2.02,,
June,,,,,,,2.43,3.29,2.64,2.03,0.4,2.14,2.14,2.43,1.63,4.69,3.7,1.96,0.66,,
July,,,,,,,1.52,2.77,1.47,1.72,2.11,3.64,3.28,2.47,0.79,1.61,3.73,1.1,2.34,,
August,,,,,,,1.09,3.96,2.18,1.77,3.67,6.2,1.83,1.13,3.44,2.73,0.27,1.54,1.86,,
September,,,,,,,0.79,6.28,1.25,0.29,3.23,2.63,3.53,3.91,2.37,4.52,3.59,1.63,1.1,,
October,,,,,,,1.98,2.17,7.59,4.39,2.12,0.61,5.65,1.88,1.85,5.09,1.7,3.55,3.27,,
November,,,,,,,6.39,3.97,2.89,9.46,4.92,3.77,1.92,0.65,2.38,7.6,2.85,2.17,5.19,,
December,,,,,,,0.32,4.01,3.06,7.71,3.8,0.62,1.39,0.76,10.67,4.26,4.15,4.08,4.15,,
Total,,,,,,,27.33,39.63,35.63,32.85,32.51,31.21,34.25,27.8,33,41.33,34.29,38.11,25.34,,
,,,,,,,,,,,,,,,,,,,,,
Highcroft ,,,,,,,,,,,,,,,,,,,,,
1939 Station terminated due to ill health of observer,,,,,,,,,,,,,,,,,,,,,
