"CARRICKFERGUS DORISLAND",,,,,,,,,,,,
Grid ref,IJ3861988127,Long,-5.849098,Lat,54.722197,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.04,3.15,2.30,4.94,2.99,1.71,4.26,2.18,3.73,2.39,,
February,3.36,1.72,1.69,2.24,2.73,2.16,2.39,2.00,2.40,2.77,,
March,1.02,2.68,2.40,5.11,2.24,3.14,1.96,4.28,3.94,3.35,,
April,3.32,2.85,2.09,1.68,2.84,2.39,2.22,2.34,2.76,3.75,,
May,3.42,1.85,3.63,2.51,3.27,1.67,4.54,4.03,2.08,1.62,,
June,4.18,3.63,2.13,1.74,1.44,2.76,1.09,4.69,3.10,2.79,,
July,4.08,1.26,3.09,4.64,3.50,1.93,4.52,2.84,5.51,3.56,,
August,6.27,4.02,3.95,4.27,4.98,7.65,4.24,3.56,2.43,2.38,,
September,2.30,3.46,4.47,2.98,3.45,1.91,1.02,0.92,3.81,2.55,,
October,5.21,4.03,2.15,6.17,1.04,2.17,5.29,4.64,2.02,5.76,,
November,5.10,4.91,3.55,3.10,3.18,4.34,3.65,3.00,3.46,1.24,,
December,3.54,4.24,3.00,2.80,2.48,2.31,4.00,2.98,2.07,3.70,,
Total,46.84,37.80,34.45,42.18,34.14,34.14,39.18,37.46,37.31,35.86,,
Calc annual,46.84,37.80,34.45,42.18,34.14,34.14,39.18,37.46,37.31,35.86,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
