LOWESTOFT-KIRKLEY (ST PETERS),,,,,,,,,,,,,,,,,,,,
Grid ref,TM540915,Long,1.737676,Lat,52.462315,Elevation,58,ft,,,,,,,,,,,,
Station no,RR6812,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.06,0.89,1.2,1.63,1.49,1.6,2.25,,,,2.05,1.76,,,,,,,,
February,1.65,2.11,1.67,2.35,0.94,2.16,0.35,,,,0.64,0.09,,,,,,,,
March,0.88,1.85,1.31,1.49,1.1,0.99,1.25,,,,1.81,1.58,,,,,,,,
April,1.79,0.93,2.96,1.91,1.43,1.71,0.91,,,,1.28,1.03,,,,,,,,
May,0.7,1.08,2.01,1.87,0.7,2.29,1.49,,,,0.9,2.53,,,,,,,,
June,2.1,2.09,2.49,2.46,0.72,0.66,0.48,,,,2.38,1.11,,,,,,,,
July,5.39,1.03,3.11,4.54,2.12,,3.62,,,,4.53,3.28,,,,,,,,
August,2.1,3.44,1.43,1.04,0.89,0.29,1.53,,,,2.4,3.8,,,,,,,,
September,2.61,2.46,2.26,1.87,5.15,5.48,1.03,,,,0.99,0.8,,,,,,,,
October,3.93,3.22,5.15,2.62,3.91,5.62,2.85,,,,1.66,3.82,,,,,,,,
November,2.23,1.48,3.5,3.04,1.85,2.23,2.55,,,,3.43,1.97,,,,,,,,
December,1.93,3.3,4.22,2.24,2.39,1.17,3.66,,,,0.35,2.85,,,,,,,,
Total,25.37,23.88,31.31,27.06,22.69,,21.97,,,,22.42,24.62,,,,,,,,
