LOWESTOFT-KIRKLEY (WELLINGTON ESPLANADE),,,,,,,,,,,,,,,,,,,,,
Grid ref,TM544920,Long,1.7439317,Lat,52.466614,Elevation,15,ft,,,,,,,,,,,,,
Station no,RR6812,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,1.26,2.17,2.56,3.1,1.72,1.56,,,,,,,,,
February,,,,,,,3.53,0.74,0.66,1.83,0.39,0.2,,,,,,,,,
March,,,,,,,2.83,2.61,0.75,1.66,0.91,0.87,,,,,,,,,
April,,,,,,,1.5,2.17,2.78,1.74,2.33,0.99,,,,,,,,,
May,,,,,,,1.25,0.66,0.64,1.29,1.62,0.94,,,,,,,,,
June,,,,,,,2.87,2.15,1.02,1.28,1.86,0.36,,,,,,,,,
July,,,,,,,0.89,3.6,4.59,2.27,3.21,0.68,,,,,,,,,
August,,,,,,,3.01,3.97,1.13,2.24,1.65,2.18,,,,,,,,,
September,,,,,,,1.23,1.36,3.34,0.62,3.01,1.54,,,,,,,,,
October,,,,,,,1.27,3.62,2.05,2.97,0.31,0.94,,,,,,,,,
November,,,,,,,2.77,1.49,1.37,2,0.64,2.32,,,,,,,,,
December,,,,,,,3.07,1.15,3.23,4.23,2.3,1.72,,,,,,,,,
Total,,,,,,,25.48,25.69,24.12,25.23,19.95,14.3,,,,,,,,,
