HANNINGFIELD-DOWNHAM-PUMPING-STATION,,,,,,,,,,
Grid ref,TQ723970,Long,0.488894,Lat,51.645399,Elevation,183,ft,,
Station no,1286/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.05,1.95,1.64
February,,,,,,,,2.38,0.04,1.56
March,,,,,,,,1.01,1.37,1.04
April,,,,,,,,1.26,2.39,0.54
May,,,,,,,,2.53,0.96,2.32
June,,,,,,,,4.61,0.87,1.46
July,,,,,,,,3.95,1.36,2.94
August,,,,,,,,3.99,0.75,3.85
September,,,,,,,2.48,5.88,0.05,4.38
October,,,,,,,1.44,2.75,1.88,6.17
November,,,,,,,3.01,1.38,2.65,3.36
December,,,,,,,1.77,3.14,3.64,2.38
Total,,,,,,,,34.93,17.91,31.64
