"SAFFRON WALDEN (DEBDEN ROAD)",,,,,,,,,,,,
Grid ref,TL539371,Long,0.240999,Lat,52.010996,,,,,,,
Station no,1330/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.53,1.75,0.98,1.23,2.35,3.17,,,,,,
February,3.48,0.57,1.61,1.84,1.35,0.79,,,,,,
March,3.05,2.90,0.34,2.15,1.31,0.72,,,,,,
April,3.01,1.22,2.15,0.24,0.35,1.43,,,,,,
May,2.77,0.73,1.62,2.68,3.23,0.63,,,,,,
June,1.26,1.28,2.37,1.98,2.43,2.13,,,,,,
July,1.22,0.64,3.55,2.44,0.39,2.32,,,,,,
August,3.50,3.29,1.67,3.23,0.85,4.00,,,,,,
September,2.73,2.36,1.48,1.31,1.95,1.76,,,,,,
October,0.93,2.35,2.83,1.90,4.07,1.58,,,,,,
November,3.83,3.86,1.23,3.50,0.62,,,,,,,
December,1.73,2.44,0.62,1.94,1.87,,,,,,,
Total,30.04,23.39,20.45,24.44,20.77,,,,,,,
Calc annual,30.04,23.39,20.45,24.44,20.77,18.53,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
