NOTTINGHAM ,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref ,SK571402 ,Long ,-1.151,Lat ,52.956,Elevation ,150,ft,,,,,,,,,,,,,,,,
Station no ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813
January ,,,,,,,,,,,,,,,,,2.8,0.73,1.4,1.8,1.05,2.07,1.07,1.78
February ,,,,,,,,,,,,,,,,,1.1,1.23,0.54,1.69,1.03,1.21,2.14,1.16
March ,,,,,,,,,,,,,,,,,1.74,0.73,0.58,0.75,1.4,1.47,4.08,0.78
April ,,,,,,,,,,,,,,,,,0.88,0.94,3.85,2.15,1,1.04,1.08,0.75
May ,,,,,,,,,,,,,,,,,1.5,5.08,1.94,1.8,2.6,3.73,2.87,2.74
June ,,,,,,,,,,,,,,,,,1.95,3,2.32,2.45,1.18,1.11,1.24,1.37
July ,,,,,,,,,,,,,,,,,3.24,2.55,2.1,1.44,3.85,2.63,1.86,2.19
August ,,,,,,,,,,,,,,,,,2.55,1.4,0.91,4.5,2.61,1.24,1.86,0.82
September ,,,,,,,,,,,,,,,,,1.7,1.7,2.37,3.13,0.62,2.37,1.35,1.6
October ,,,,,,,,,,,,,,,,,1.1,1.7,2.57,0.31,2.72,2.9,3.88,6.08
November ,,,,,,,,,,,,,,,,,2.75,3.33,2.18,1.18,3.02,1.95,2.21,1.85
December ,,,,,,,,,,,,,,,,,4.25,0.93,1.8,1.81,2.07,1.69,0.78,1.53
Total ,,,,,,,,,22,28.5,,,,,,,25.56,23.32,22.56,23.01,23.15,23.41,24.42,22.65
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Location unknown, central estimate given, rough Elevation given",,,,,,,,,,,,,,,,,,,,,,,,
