INVERBROOM HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 18586 83118,Long,-5.054399,Lat,57.800814,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,,5,11.1,6,7,6.14,9.4,10.4,1.3,7,10.61,10,8.5,7.5,8.02,4.8,6,,,
February,,,,,,,,,,,,,6.4,4.2,5.1,8,5,1.57,7.95,0.9,1.12,8.56,1,5.2,5.5,6.9,2.6,7,,,
March,,,,,,,,,,,,,3.67,1.5,2.4,5.6,7.6,3.6,3.1,1.5,3.6,,3.7,2.1,4,5.1,1.8,2.5,,,
April,,,,,,,,,,,,,4.4,3,5.7,5.3,3.25,8.9,2.5,3.4,2.2,5.14,6.3,5.4,5.8,3.12,2.2,0.5,,,
May,,,,,,,,,,,,,5.13,6.61,3,3.4,3.15,2.3,2.6,1.8,3.8,2.5,2.6,1.3,4.4,0.5,1.5,1.7,,,
June,,,,,,,,,,,,,3.86,4.1,2.8,2.2,2.4,6,4.4,3,3,3,0.5,1,1.2,2.1,1.1,2,,,
July,,,,,,,,,,,,,2.66,5.1,3.5,3.1,2.4,1.95,4.43,2,3.2,4.5,3.47,5.7,3.9,4.15,3.8,,,,
August,,,,,,,,,,,,,4.54,5.7,4.5,3.3,2.6,4.15,4.2,5.3,7.5,1.5,3.5,5.3,4.5,4.5,4.3,,,,
September,,,,,,,,,,,,,2.24,6.2,2.6,5.5,5.35,7.9,3.4,4.5,3,1.4,6.3,0.5,8.4,9.1,2.6,,,,
October,,,,,,,,,,,,,2.6,9.52,3.5,4.2,7.2,6.5,5.9,9,10.3,5.6,7.8,6.3,9.32,9.5,4,,,,
November,,,,,,,,,,,,,5.2,8,2.3,3,6.5,5.8,11.5,6.95,9.3,,8.5,3.9,4.4,7.1,5.2,,,,
December,,,,,,,,,,,,,8,7.1,9.6,7.4,6.63,0.5,6.8,10.1,4.7,8.5,5,2.1,3.1,2.6,9.6,,,,
Total,,,,,,,,,,52.74,62.54,62.57,53.7,72.13,51,58,58.22,58.57,67.18,49.75,58.72,,58.67,47.3,62.02,62.69,43.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 MN+T deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
