Rainfall at,CAPE WRATH
,
Station no,5804,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,10.84,5.15,2.07,1.73,6.21,3.27,3.24,6.67,6.64,0.99,3.34,
February,9.28,2.00,1.55,1.48,5.15,4.96,2.29,1.42,3.79,1.09,0.62,
March,5.69,4.08,0.61,0.50,3.70,3.00,5.34,1.55,2.38,0.58,2.39,
April,2.77,2.83,0.67,2.44,1.43,2.35,2.15,7.00,1.31,1.24,1.34,
May,2.87,2.05,2.89,1.37,2.02,2.88,2.37,2.01,1.01,1.80,1.51,
June,1.06,2.02,0.76,0.45,5.04,1.45,1.16,2.03,2.43,2.92,1.97,
July,2.60,3.37,0.45,5.88,3.02,2.13,3.03,1.80,3.08,1.33,1.66,
August,1.78,4.50,1.87,2.89,5.05,3.19,4.78,2.82,1.73,5.00,4.92,
September,3.46,5.11,0.85,5.20,3.95,3.23,5.38,5.09,2.14,5.87,2.60,
October,0.79,6.03,1.13,7.66,4.24,3.10,7.09,7.77,2.89,5.89,5.71,
November,7.96,2.69,1.69,4.74,5.11,2.79,5.17,3.88,3.86,4.14,4.82,
December,3.67,5.43,5.97,5.41,5.81,5.04,7.68,0.86,3.39,3.99,2.17,
Total,52.77,45.26,20.51,39.75,50.73,37.39,49.68,42.90,34.65,34.84,33.05,
Calc annual,52.77,45.26,20.51,39.75,50.73,37.39,49.68,42.90,34.65,34.84,33.05,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
