Rainfall at,CAPE WRATH
,
Station no,5804/1,
,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.02,4.15,3.83,7.22,3.17,4.27,1.80,4.80,7.62,4.80,
February,3.31,4.19,5.02,3.22,4.62,4.16,1.18,3.38,5.97,4.13,
March,1.93,1.87,2.84,3.74,2.97,2.67,2.15,3.06,3.19,3.90,
April,3.22,1.42,4.93,2.26,2.83,3.58,4.71,2.91,5.31,4.60,
May,2.40,2.93,2.35,4.16,2.94,0.68,1.34,1.64,3.94,2.25,
June,0.85,2.63,2.58,4.08,4.33,3.33,3.90,2.26,1.95,4.74,
July,2.87,5.59,3.23,1.26,3.48,6.28,1.48,3.33,3.02,2.88,
August,4.86,4.21,6.35,3.06,2.91,3.98,0.36,4.20,4.22,2.61,
September,2.21,5.16,4.53,4.85,2.49,6.33,8.10,6.66,4.13,8.23,
October,4.40,9.71,5.36,5.01,3.10,0.91,3.49,6.10,3.88,5.04,
November,2.42,3.87,5.45,4.37,2.20,4.83,7.91,5.42,4.10,5.70,
December,5.12,6.38,3.62,5.88,5.74,3.78,3.93,5.41,9.63,3.81,
Total,35.61,52.11,50.09,49.11,40.78,44.80,40.35,49.17,56.96,52.69,
Calc annual,35.61,52.11,50.09,49.11,40.78,44.80,40.35,49.17,56.96,52.69,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,
