CAPE WRATH,,,,,,,,,,,,
Grid ref,NC259747,Long,-5.000076,Lat,58.625156,,,,,,,
Station no,5804,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.23,2.98,3.41,2.40,2.17,2.32,4.81,3.86,2.98,3.37,,
February,1.67,2.63,1.11,3.82,1.96,3.95,3.57,2.92,4.12,1.41,,
March,1.48,2.26,3.63,4.03,0.51,3.97,1.95,1.92,3.76,1.37,,
April,2.95,2.13,0.93,1.45,3.90,1.79,2.44,1.26,1.98,1.76,,
May,2.11,0.90,1.60,0.58,1.92,1.85,3.88,0.94,2.42,1.80,,
June,0.56,2.20,1.85,0.95,2.20,1.06,1.00,4.54,2.76,2.28,,
July,3.56,2.71,3.12,4.07,1.00,3.66,3.24,1.68,1.05,3.11,,
August,1.71,2.75,1.57,5.83,5.61,3.95,3.30,4.48,2.65,4.31,,
September,6.85,1.49,2.09,1.66,2.78,4.86,1.45,1.96,5.14,2.99,,
October,6.07,3.96,2.79,6.44,3.59,4.59,4.14,1.59,1.45,5.62,,
November,5.05,3.38,1.33,4.66,3.58,3.96,6.70,2.45,5.08,6.30,,
December,7.30,4.56,2.47,1.96,5.17,3.88,3.68,3.15,4.36,3.33,,
Total,42.54,31.95,25.90,37.85,34.39,39.84,40.16,30.75,37.75,37.65,,
Calc annual,42.54,31.95,25.90,37.85,34.39,39.84,40.16,30.75,37.75,37.65,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
