CAPE WRATH (M.O. STATION) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC259747 ,Long,-5.000076,Lat,58.625156,Elevation,355,ft,,,,,,,,,,,,,,,,,,,,,,
Station no ,5804/1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January ,,,,,,,,,,,2.02,4.15,3.83,7.22,3.17,4.27,1.8,4.8,7.62,4.8,4.59,5.52,4.47,3.52,4.29,5.1,6.87,4.85,7.48,2.87
February ,,,,,,,,,,,3.31,4.19,5.02,3.22,4.62,4.16,1.18,3.38,5.97,4.13,2.58,3.22,3.62,4.69,2.46,2.74,3.14,3.49,1.71,2.59
March ,,,,,,,,,,,1.93,1.87,2.84,3.74,2.97,2.67,2.15,3.06,3.19,3.9,2.73,5.33,2.06,2.98,2.65,1.25,5.33,2.11,2.26,0.97
April ,,,,,,,,,,,3.22,1.42,4.93,2.26,2.83,3.58,4.71,2.91,5.31,4.6,3.96,1.02,3,1.99,2.9,2.32,1.9,2.35,2.87,3.27
May ,,,,,,,,,,2.12,2.4,2.93,2.35,4.16,2.94,0.68,1.34,1.64,3.94,2.25,0.56,2.72,1.82,2.95,2.13,3.43,1.15,5.09,2.28,1.62
June ,,,,,,,,,,1.62,0.85,2.63,2.58,4.08,4.33,3.33,3.9,2.26,1.95,4.74,1.79,3.94,2.3,6.36,2.5,2.32,4.69,2.21,4.03,2.37
July ,,,,,,,,,,5.28,2.87,5.59,3.23,1.26,3.48,6.28,1.48,3.33,3.02,2.88,5.3,2.96,4.69,3.61,1.02,6.91,5.09,1.24,5.41,3.17
August ,,,,,,,,,,4.7,4.86,4.21,6.35,3.06,2.91,3.98,0.36,4.2,4.22,2.61,3.23,6.54,4.69,2.57,0.86,4.99,5.56,3.42,4.54,4.26
September ,,,,,,,,,,4.45,2.21,5.16,4.53,4.85,2.49,6.33,8.1,6.66,4.13,8.23,1.67,4.16,4.68,4.95,5.6,1.93,4.09,1.97,3.22,2.37
October ,,,,,,,,,,2.96,4.4,9.71,5.36,5.01,3.1,0.91,3.49,6.1,3.88,5.04,4.96,3.43,3.87,10.85,6.63,5.69,8.1,4.63,6.1,1.97
November ,,,,,,,,,,8.03,2.42,3.87,5.45,4.37,2.2,4.83,7.91,5.42,4.1,5.7,5.57,5.92,8.1,5.73,3.12,4.75,3.92,2.55,4.09,2.08
December ,,,,,,,,,,4.3,5.12,6.38,3.62,5.88,5.74,3.78,3.93,5.41,9.63,3.81,6.65,4.85,4.23,7.55,6.18,5.35,5.93,3.43,4.74,4.74
Total ,,,,,,,,,,,35.61,52.11,50.09,49.11,40.78,44.8,40.35,49.17,56.96,52.69,43.59,49.61,47.53,57.75,40.34,46.78,55.77,37.34,48.73,32.28
