WITHINGTON LADY BARN HO. SCHOOL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6961,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.92,2.13,3.28,2.93,1.43,3.81,2.01,1.94,,0.39,,
February,4.56,2.17,0.93,1.10,3.40,1.81,3.50,0.41,3.58,0.84,,
March,0.44,1.57,1.11,3.38,3.51,1.62,1.87,1.19,0.41,5.27,,
April,2.38,2.15,0.68,3.68,1.56,2.04,1.98,1.40,,,,
May,3.91,1.21,1.93,2.61,2.03,2.40,2.82,2.31,2.23,0.52,,
June,2.79,2.71,5.61,2.05,2.39,3.33,3.34,2.50,1.91,1.73,,
July,3.64,1.15,4.47,1.19,4.06,5.55,1.50,1.31,4.31,1.27,,
August,4.83,,4.00,1.70,1.55,2.11,1.22,2.75,,,,
September,0.32,,,1.56,2.70,0.42,2.47,1.95,7.52,0.27,,
October,4.43,2.32,2.75,2.72,1.26,,2.71,4.14,2.69,0.91,,
November,4.16,3.13,2.36,2.84,3.49,,1.95,2.66,0.75,2.74,,
December,1.94,3.93,3.70,2.17,4.45,4.11,2.56,0.66,5.46,3.10,,
Total,37.32,,,27.93,31.83,,27.93,23.22,,,,
Calc annual,37.32,22.47,30.82,27.93,31.83,27.20,27.93,23.22,28.86,17.04,,
Difference,0.00,NaN,NaN,0.00,-0.00,NaN,0.00,0.00,NaN,NaN,,
