"PORTH, CEMETERY ROAD",,,,,,,,,,,,
Grid ref,ST016918,Long,-3.422618,Lat,51.616396,,,,,,,
Station no,RR7469,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,12.75,3.24,7.30,3.04,,
February,,,,,,,7.10,5.90,4.30,1.19,,
March,,,,,,,5.50,4.61,5.88,6.47,,
April,,,,,,,1.15,4.92,3.70,4.72,,
May,,,,,,,7.10,4.36,4.36,2.75,,
June,,,,,,,3.20,9.76,0.97,3.90,,
July,,,,,,,1.40,3.16,6.50,4.28,,
August,,,,,,,5.61,7.80,8.70,2.59,,
September,,,,,,,2.10,2.12,4.80,4.76,,
October,,,,,,,11.50,9.50,5.04,14.02,,
November,,,,,,,7.20,6.12,4.32,3.47,,
December,,,,,,,3.60,12.16,6.88,14.83,,
Total,,,,,,,68.21,73.65,62.75,66.02,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,68.21,73.65,62.75,66.02,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
