PORTH-CEMETERY-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,ST016918,Long,-3.4226183,Lat,51.616396,Elevation,500,ft,,,,,,,,,,,,
Station no,RR7469,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,12.75,3.24,7.3,3.04,10.42,3.25,8.75,12.28,5.83,8.29,,,,
February,,,,,,,7.1,5.9,4.3,1.19,9.24,8.73,6.15,3.68,10.71,11.73,,,,
March,,,,,,,5.5,4.61,5.88,6.47,2.46,3.2,13.05,12.7,12.12,2.31,,,,
April,,,,,,,1.15,4.92,3.7,4.72,4.28,5.51,1.53,10.31,3.87,2.92,,,,
May,,,,,,,7.1,4.36,4.36,2.75,4.13,2.71,2.29,3.1,4.07,2.94,,,,
June,,,,,,,3.2,9.76,0.97,3.9,5.9,3.56,8.17,3.37,2.35,2.42,,,,
July,,,,,,,1.4,3.16,6.5,4.28,5.81,0.35,2,0.44,6.71,7.7,,,,
August,,,,,,,5.61,7.8,8.7,2.59,7.98,5.91,14.43,2.82,5.05,,,,,
September,,,,,,,2.1,2.12,4.8,4.76,0.3,4.08,1.23,3.31,4.6,,,,,
October,,,,,,,11.5,9.5,5.04,14.02,5.99,5.67,8.72,4.65,3.64,,,,,
November,,,,,,,7.2,6.12,4.32,3.47,8.74,11.63,5.08,12.81,6.99,,,,,
December,,,,,,,3.6,12.16,6.88,14.83,8.88,16.17,15.72,5.35,12.52,,,,,
Total,,,,,,,68.21,73.65,62.75,66.02,74.13,70.77,87.12,74.82,78.46,,,,,
