SWANSEA HARBOUR,,,,,,,,,,,,
Grid ref,SS662923,Long,-3.933830,Lat,51.613581,,,,,,,
Station no,RR7474,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,4.15,2.57,5.46,6.48,1.70,7.50,2.79,2.89,3.03,,
February,,1.83,1.86,2.72,5.94,1.35,3.59,3.19,4.22,0.69,,
March,,,3.56,7.01,2.42,6.21,3.36,2.73,5.06,5.09,,
April,,4.78,2.48,2.60,3.57,3.93,1.42,4.14,2.54,4.22,,
May,,,3.05,3.40,2.81,0.53,4.44,3.44,3.61,2.09,,
June,,,5.05,1.18,1.62,2.28,2.41,5.39,0.86,2.10,,
July,,,2.47,3.96,4.53,2.52,2.01,2.54,4.90,3.56,,
August,,,3.15,6.31,3.72,5.21,3.92,6.10,4.60,2.39,,
September,,,2.73,5.34,3.12,2.07,2.01,1.26,5.43,4.54,,
October,,,4.27,11.48,3.63,1.92,8.04,7.74,2.14,9.38,,
November,,,4.70,3.21,1.68,4.68,4.81,3.81,3.17,2.74,,
December,,,4.25,3.60,4.72,3.28,3.54,6.15,6.67,9.83,,
Total,,,40.14,56.27,44.24,35.68,47.05,49.28,46.09,49.66,,
Calc annual,0.00,10.76,40.14,56.27,44.24,35.68,47.05,49.28,46.09,49.66,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
