SWANSEA-HARBOUR (ROOF GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SS659926,Long,-3.9382754,Lat,51.616206,Elevation,40,ft,,,,,,,,,,,,
Station no,RR7474,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,4.15,2.57,5.46,6.48,1.7,7.5,2.79,2.89,3.03,7.57,,,,,,,,,
February,,1.83,1.86,2.72,5.94,1.35,3.59,3.19,4.22,0.69,6.68,,,,,,,,,
March,,,3.56,7.01,2.42,6.21,3.36,2.73,5.06,5.09,1.61,,,,,,,,,
April,,4.78,2.48,2.6,3.57,3.93,1.42,4.14,2.54,4.22,4.48,,,,,,,,,
May,,,3.05,3.4,2.81,0.53,4.44,3.44,3.61,2.09,3.39,,,,,,,,,
June,,,5.05,1.18,1.62,2.28,2.41,5.39,0.86,2.1,6.86,,,,,,,,,
July,,,2.47,3.96,4.53,2.52,2.01,2.54,4.9,3.56,5.49,,,,,,,,,
August,,,3.15,6.31,3.72,5.21,3.92,6.1,4.6,2.39,6.06,,,,,,,,,
September,,,2.73,5.34,3.12,2.07,2.01,1.26,5.43,4.54,0.47,,,,,,,,,
October,,,4.27,11.48,3.63,1.92,8.04,7.74,2.14,9.38,4.48,,,,,,,,,
November,,,4.7,3.21,1.68,4.68,4.81,3.81,3.17,2.74,3.34,,,,,,,,,
December,,,4.25,3.6,4.72,3.28,3.54,6.15,6.67,9.83,5.9,,,,,,,,,
Total,,,40.14,56.27,44.24,35.68,47.05,49.28,46.09,49.66,56.33,,,,,,,,,
