LEIGH-PARK-HAVANT,,,,,,,,,,,,,,,,,,,,
Grid ref,SU720086,Long,-0.97741,Lat,50.87294,Elevation,120,ft,,,,,,,,,,,,
Station no,RR4787,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,2.58,4.03,4.57,3.19,2.47,3.59,2.27,3.4,6.4,4.66,0.56,,,,,
February,,,,,1.2,2.83,5.22,2.26,0.99,2.4,2.88,1.78,,1.87,0.26,,,,,
March,,,,,3.57,1.15,1.74,3.02,3.55,2.15,1.77,1.9,,2.88,0.05,,,,,
April,,,,,2.13,0.59,1.58,2.08,2.65,1.16,0.41,4.79,,0.45,0.8,,,,,
May,,,,,1.32,3.03,1.17,1.76,1.32,4.09,1.33,0.36,,0.91,0.45,,,,,
June,,,,,1.36,1.86,2.72,2.18,0.52,1.86,0.39,3.99,2.75,1.48,2.06,,,,,
July,,,,,0.27,2.14,1.82,4.17,0.97,1.24,0.57,3.1,3.63,2.32,2.24,,,,,
August,,,,,1.1,5.43,3.53,3.94,5.16,1.24,2.71,1.43,2.4,1.65,2.15,,,,,
September,,,,,4.07,0,6.09,3.02,2.42,3.06,1.7,4.87,1.4,2.85,2.66,,,,,
October,,,,,1.85,10.21,0.8,3.87,3.63,2.93,4.77,1.75,4.8,3.43,3.8,,,,,
November,,,,,3.78,3.77,2.43,0.62,1.87,1.95,1.42,1.1,3.37,2.67,3.75,,,,,
December,,,,,1.68,2.06,2.45,1.74,8.3,3.34,2.95,1.82,4.2,0.34,1.7,,,,,
Total,,,,,24.91,37.1,34.12,31.85,33.85,29.01,23.17,30.29,,25.51,20.48,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge in flower bed,,,,,,,,,,,,,,,,,,,,
Enormous grounds ,,,,,,,,,,,,,,,,,,,,
Elevation values varies but highest on sheet roughly matches with lowest on map Puts gauge in North or West Garden which are near each other ,,,,,,,,,,,,,,,,,,,,
1868/9 In 45 days Nov 22 to Jan 5 11.5in of rain fell Rain falling on 33 of the days while in the 62 days May 26 to July 27 only 1.03in fell,,,,,,,,,,,,,,,,,,,,
1872 Observer died,,,,,,,,,,,,,,,,,,,,
