ETTRICK-PEN-TOP DUMFRIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT199076,Long,-3.2635,Lat,55.3562,Elevation,2268,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,6.5,4.5,10,9,8,9,9.1,6.8,7,15.3,9.6,7,6.7,6.1,5.5,,,,,,,,
February,,,,,,,,3.4,-999,4.62,8,5.9,3.3,7.3,3,6.2,10.25,8,10,10.1,5,6.1,,,,,,,,
March,,,,,,,,3.5,-999,12.25,6.12,4.4,9,2.3,3.9,3.8,9.75,5,8.8,1.6,2.5,4.25,,,,,,,,
April,,,,,,,,3.5,-999,6.5,1.5,1.5,6.6,10.5,1.4,2.5,4.25,9.5,4.5,3.1,3,4.7,,,,,,,,
May,,,,,,,,3.4,9.7,0.65,7.25,1.5,4.9,2,2,11,2.25,11.4,3,2,8.5,1.25,,,,,,,,
June,,,,,,,,5.5,2.25,2.5,7.5,4,7.5,7.3,5.1,1.1,3,,1.3,2,2.6,,,,,,,,,
July,,,,,,,,5.4,4.3,4.9,2.7,7,6.8,1.1,3.3,4.5,1.25,,0.9,3.8,1.5,,,,,,,,,
August,,,,,,,,4,8,5.5,5.5,11.7,5.6,5.7,2.7,9.2,7.75,,5.3,2,3.3,,,,,,,,,
September,,,,,,,,7,11.5,5.4,1.9,6,3.5,10.3,11,3.8,9,5.1,3.8,11.5,4,,,,,,,,,
October,,,,,,,,6.5,10,6,11.5,6,10.5,4.5,8.2,6.2,6,5.2,8.2,2.75,7.9,,,,,,,,,
November,,,,,,,,5.7,3.25,5.1,2.4,10,1.5,7,13.2,6.2,10.8,1,4.1,7.8,2.1,,,,,,,,,
December,,,,,,,,12.75,6.9,6.8,3.8,9.5,9.5,4.3,8.8,7.5,11.5,5.25,15,9.5,6.5,,,,,,,,,
Total,,,,,,,65.2,67.15,67.15,70.22,67.17,75.5,77.7,71.4,69.4,69,91.1,,71.9,62.85,53,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 1870 8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
