DENTON-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL7506791826,Long,0.57744829,Lat,52.49624,Elevation,90,ft,,,,,,,,,,,,
Station no,1401/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.68,2.12,5.29,1.62,2.33,2.37,,,,,,,,
February,,,,,,,3,0.73,1.04,1.25,1.58,0.76,,,,,,,,
March,,,,,,0.44,2.97,0.51,2.07,2.81,3.15,2.13,,,,,,,,
April,,,,,,1.28,2.24,0.58,2.18,1.3,1,0.47,,,,,,,,
May,,,,,,0.88,2.86,2.07,0.8,0.42,2.16,1.46,,,,,,,,
June,,,,,,3.79,1.93,0.86,1.49,0.46,0.49,0.53,,,,,,,,
July,,,,,,3.54,2.17,1.68,1.6,3.27,1.42,3.44,,,,,,,,
August,,,,,,1.07,1.9,1.18,3.7,0.66,4.12,1.88,,,,,,,,
September,,,,,,2.02,2.11,2.28,0.98,0.98,0.22,1.64,,,,,,,,
October,,,,,,2.63,1.9,2.29,6.17,2.2,2.46,3.64,,,,,,,,
November,,,,,,3.07,1.92,1.92,3.92,5.36,2.44,3.27,,,,,,,,
December,,,,,,1.44,2.57,2.68,1.96,1.66,1.33,2.26,,,,,,,,
Total,,,,,,,29.25,18.9,31.2,21.99,22.7,23.85,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1936 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,
1951 Gauge moved,,,,,,,,,,,,,,,,,,,,
