"DENTON LODGE (PUMPING STATION) DOWNHAM WATERWORKS",,,,,,,,,,,,
Grid ref,TL753920,Long,0.580968,Lat,52.497728,,,,,,,
Station no,1401/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.23,1.99,1.09,1.60,1.80,2.97,1.74,1.86,2.66,2.94,,
February,2.41,0.94,1.25,2.29,2.50,1.26,2.15,2.91,0.16,1.10,,
March,3.10,2.84,0.51,2.15,1.93,0.62,2.33,0.80,1.36,1.35,,
April,3.04,1.66,2.13,0.37,0.74,0.96,0.26,1.19,2.13,0.55,,
May,1.89,1.83,1.97,2.87,2.23,1.01,1.17,2.72,0.60,0.42,,
June,0.98,1.21,3.79,2.13,2.14,2.43,1.69,3.51,0.94,1.92,,
July,0.84,1.35,3.14,3.08,0.10,2.28,4.98,3.96,4.21,3.40,,
August,2.83,3.23,2.17,5.16,0.98,4.03,2.27,3.03,1.55,2.28,,
September,2.90,3.23,1.02,1.84,1.93,1.71,4.09,2.68,0.02,3.02,,
October,1.00,2.56,2.02,2.50,2.76,1.42,1.33,1.82,1.66,3.98,,
November,3.10,3.46,1.50,3.86,1.41,1.03,1.26,1.37,1.46,3.86,,
December,1.40,1.91,1.09,1.83,1.46,1.91,1.82,3.01,3.29,2.68,,
Total,25.72,26.21,21.68,29.68,19.98,21.63,25.09,28.86,20.04,27.50,,
Calc annual,25.72,26.21,21.68,29.68,19.98,21.63,25.09,28.86,20.04,27.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
