LAGGAN OF DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX572746,Long,-4.236531,Lat,55.045322,Elevation,550,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5015/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.92,1.84,10.53,11.01,7.76,5.12,10.73,8.93,11.95,6.19,4.33,8.4,7.31,3.11,7.05,6.77,5.59,9.19,9.77,3.4,7.41
February,,,,,,,,,,2.83,5.01,2.6,6.2,3.01,9.67,5.05,1.23,6.15,7.29,6.78,5.1,1.95,2.21,6.93,3.47,1.36,6.12,6.87,2.61,9.08
March,,,,,,,,,,7.23,4.53,5.59,2.27,0.62,5,4.33,7.76,6.52,3.04,6.8,4.94,4.59,0.81,4.87,3.67,4.05,6.7,1.81,6.09,2.29
April,,,,,,,,,,3.77,2.84,4.37,3.99,4.23,3.14,1.87,10.97,2.96,8.53,5.22,3.94,3.38,3.86,1.96,4.52,1.89,2.45,2.11,4.04,7.12
May,,,,,,,,,,1.68,3.35,6.01,5.5,3.79,6.16,0.91,4.99,2.09,2.08,2.2,2.68,3.71,4.33,5.33,5.29,3.47,4.77,4.27,1.12,3.12
June,,,,,,,,,,1.18,0.9,1.26,4.53,4.99,5.13,5.75,5.18,5.54,0.86,3.66,2.47,3.58,2.4,5.84,3.95,5.35,2.01,4.74,4.18,3.82
July,,,,,,,,,,5.97,2.99,4.36,3.38,4.43,3.22,3.91,4.5,7.49,3.03,6.85,3.18,3.79,7.4,5.15,2.33,6.48,4.31,4.73,5.61,6.86
August,,,,,,,,,,1.99,7.91,7.08,8.4,3.84,2.42,4.74,0.23,8.3,4.1,8.21,10.63,5.82,4.86,5.09,1.65,10.31,6.92,6.26,0.94,5.34
September,,,,,,,,,,5.73,3.49,7.87,4.11,8.28,6.55,10.36,6.65,7.52,2.14,15.75,7.43,3.3,9.74,9.71,3.76,7.14,6.08,6.76,2.07,4.88
October,,,,,,,,,,7.89,6.64,8.24,10.77,8.79,8.21,1.23,1.97,6.44,8.97,5.95,0.82,6.14,6.55,13.72,4.86,5.36,6.64,6.2,8.13,6.6
November,,,,,,,,,11.34,9.35,5.72,1.78,4.82,10.52,0.65,11.73,9.93,6.17,9.36,4.58,12.54,3.65,12.19,14.34,4.38,3.38,4.17,3.3,8.35,13.19
December,,,,,,,,,4.98,8.37,4.31,12.32,4.56,8.71,6.41,8.2,4.72,8.93,12.85,3.48,13.29,6.45,7.53,12.36,12.2,8.72,9.29,7.4,14.71,7.82
Total,,,,,,,,,,59.91,49.53,72.01,69.54,68.97,61.68,68.81,67.06,80.06,68.44,73.81,75.42,53.67,64.99,92.35,56.85,63.1,68.65,64.22,61.25,77.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Jan adjusted for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Mar adjusted for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
