SORN (BLACKSIDE WATER TANK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 575285,Long,-4.258412,Lat,55.529837,Elevation,840,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5256/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.23,8.86,3.92,5.87,3.34,4.26,4.96,6.96,3.4,,,,,,3.11,,,,,,,,,,3.2,,,,,
February,4.24,0.03,3.98,0.9,6.68,1.57,4.16,2.08,5.35,,,,,,6.28,,,,,,,,,,1.6,,,,,
March,0.41,3.24,3.03,2.77,2.53,3,0.54,2.98,4.22,6.28,,,,,3.12,,,,,,,,,,1.6,,,,,
April,1.92,4.23,3.12,2.73,3.17,0.83,2.14,0.83,2.57,2.1,,,,,1.52,,,,,,,,,,2.9,,,,,
May,3.43,2.67,2.37,3.53,0.64,2.02,1.54,3.64,0.88,1.64,,,,,4.54,,,,,,,,,,3.1,,,,,
June,6.97,1.94,2.08,2.39,5.53,1.88,4.16,5.61,3.04,1.87,,,,,4.24,,,,,,,,,,2.5,,,,,
July,6.28,4.03,5.11,3.66,3.3,7.18,5.28,5.83,4.7,5.61,,,,,3.85,,,,,,,,,,1.04,,,,,
August,1.85,2.92,4.24,5.04,2.64,5.1,3.68,3.97,1.74,3.94,,,,,2.04,,,,,,,,,,1.5,,,,,
September,1.57,6.64,0.81,4.37,5.66,4.32,3.3,4.22,3.4,6.93,,,,,6.21,,,,,,,,,,4.6,,,,,
October,5.07,7.04,3.52,9.03,9.36,7.18,3.54,10.27,1.63,3.82,,,,,4.79,,,,,,,,,,2.3,,,,,
November,6.39,4.31,1.88,1.53,4.61,4.23,1.1,7.73,8.7,4.38,,,,,0.74,,,,,,,,,,1.4,,,,,
December,6.68,7.73,1.19,4.39,3.06,6.34,1.54,2.83,2.38,6.78,,,,,2.49,,,,,,,,,,7.02,,,,,
Total,50.04,53.64,35.25,46.21,50.52,47.91,35.94,56.95,42.01,,,,,,42.93,,,,,,,,,,32.76,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950s Locations Typo for NGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 JF +T estd from nby Sytns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 J estd for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Summer months Low P with ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 P with ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 NP Low deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 NP Low deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 NP Low deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 NP Low deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 NP Low deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 NP Low deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 NP Low deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 NP Low deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 NP Low deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 P (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 NP low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 NP low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 NP low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 NP low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 NP low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5256/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,643795,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
