"SORN (BLACKSIDE WATER TANK)",,,,,,,,,,,,
Grid ref,NS575585,Long,-4.274754,Lat,55.798711,,,,,,,
Station no,5256/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.00,3.40,3.70,5.00,3.20,2.80,4.03,2.50,1.75,3.80,,
February,1.50,1.91,1.85,2.90,1.60,1.04,2.80,2.90,2.00,4.15,,
March,2.75,1.10,0.95,1.90,1.60,2.50,4.25,0.50,2.70,2.20,,
April,2.40,2.13,1.90,1.30,2.90,1.00,2.20,1.45,2.50,2.90,,
May,1.60,1.93,2.15,2.80,3.10,1.70,1.85,2.65,1.40,1.20,,
June,1.85,2.86,1.00,4.30,2.50,2.74,2.20,1.90,3.30,1.80,,
July,4.42,5.25,4.30,4.40,1.04,4.90,4.05,4.50,6.10,2.82,,
August,4.64,3.60,3.30,5.40,1.50,6.90,5.85,4.10,0.90,3.25,,
September,4.10,3.30,3.39,6.37,4.60,3.20,3.30,4.10,1.50,2.60,,
October,1.92,2.70,2.79,9.75,2.30,3.40,4.70,3.50,7.04,1.40,,
November,4.50,2.70,7.29,5.20,1.40,2.00,2.10,1.70,4.00,5.80,,
December,6.20,3.25,4.50,6.20,7.02,5.00,4.30,3.60,4.25,4.80,,
Total,38.88,34.13,37.12,55.52,32.76,37.18,41.63,33.40,37.44,36.72,,
Calc annual,38.88,34.13,37.12,55.52,32.76,37.18,41.63,33.40,37.44,36.72,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
