"NEWMARKET (SEWAGE OUTFALL)",,,,,,,,,,,,
Grid ref,TL635648,Long,0.394056,Lat,52.257073,,,,,,,
Station no,1387,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.33,1.72,0.97,0.91,1.50,2.78,1.56,1.80,2.45,1.93,,
February,2.85,0.79,1.24,1.87,1.72,0.71,2.17,2.74,0.13,1.45,,
March,3.70,2.44,0.41,2.25,1.31,0.39,1.57,0.76,1.75,1.56,,
April,3.29,1.15,2.22,0.39,0.50,0.81,0.11,1.25,2.07,0.43,,
May,2.64,1.29,1.65,2.73,1.77,0.79,0.71,2.57,2.41,0.63,,
June,2.66,1.16,2.33,1.76,1.76,2.12,2.23,4.46,1.72,2.58,,
July,1.09,0.60,3.48,3.09,0.33,2.39,2.04,3.87,3.32,2.51,,
August,3.00,3.51,2.81,4.53,0.74,4.76,2.15,2.05,0.90,3.49,,
September,2.82,2.40,1.12,1.81,1.63,1.26,3.82,3.00,0.04,3.47,,
October,0.93,2.53,2.32,2.30,2.93,1.06,1.56,2.19,1.59,4.29,,
November,3.23,3.04,1.40,3.42,1.28,1.05,1.58,1.37,1.41,3.45,,
December,1.58,1.87,0.70,2.22,1.62,2.12,1.89,2.56,3.41,3.08,,
Total,30.12,22.50,20.65,27.28,17.09,20.24,21.39,28.62,21.20,28.87,,
Calc annual,30.12,22.50,20.65,27.28,17.09,20.24,21.39,28.62,21.20,28.87,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
