CONNAHS-QUAY-MOLD-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ298693,Long,-3.0527377,Lat,53.216099,Elevation,43,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,
January,,,,,,,,,,1.24,3.97,2.47,2.34,1.64,1.56,1.46,6.32,2.95,3.41,5.07,3.09,4.07,3.19,4.19,3.36,2.83,2.96,2.1,6.99,2.57,0.65,2.01,3.75,0.7,2.1,1.87,3.8,,,,,
February,,,,,,,,,,0.83,0.48,2.45,0.05,2.98,0.2,2.52,2.35,5.22,0.55,2.58,2.69,3.06,1.26,1.79,1.16,2.06,4.24,1.64,1.38,1.31,5.05,2.77,1.07,1.45,2.21,2.9,,,,,,
March,,,,,,,,,,0.21,3.67,0.31,1.89,1.81,2.19,0.95,2.54,2.37,0.72,1.94,2.23,2.6,2.06,0.92,0.77,0.7,0.98,5.03,0.85,2.39,0.88,5.16,1.04,0.79,2.05,2.21,,,,,,
April,,,,,,,,,,0.91,2.8,2.95,3.3,0.86,1.94,2.31,1.7,3,0.17,2.12,2.5,1.06,1.15,1.05,1.05,1.42,0.58,2.23,1.47,2.49,3.09,1.46,1.47,2.53,0.4,1.15,,,,,,
May,,,,,,,,,,1.56,1.43,2.89,3.6,1.28,1.57,1.4,1.18,2.34,2.57,1.61,2.59,1.84,2.83,2.57,1.43,3.38,2.71,3.59,0.77,2.46,0.85,3.43,2.18,2.07,2.33,2.76,,,,,,
June,,,,,,,,,,1.77,2.04,5.32,0.63,1.48,1,2.74,4.29,1.51,2.94,2.31,0.95,0.38,0.22,2.79,1.16,2.09,2.75,2.21,3.72,0.57,1.39,1.13,1.41,1.65,4.46,3.52,,,,,,
July,,,,,,,,,,2.9,3.98,2.08,4.69,1.55,1.05,1.65,1.99,1.56,2.61,5.3,3.36,1.22,2.92,2.95,1.68,3.55,1.74,3.53,1.81,2.5,1.73,1.05,1.68,2.43,3.55,0.42,,,,,,
August,,,,,,,,,,2.84,3.46,5.79,1.49,0.97,2.25,0.89,1.18,1.36,3.87,1.71,0.46,3.11,2.14,2.32,1.72,1.81,4.88,0.29,2.4,1.9,5.21,3.6,2.01,2.5,3.19,0.98,,,,,,
September,,,,,,,,,,1.51,3.21,3.12,2.29,0.66,1.45,4.76,3.19,2.05,1.26,0.84,2.8,0.34,1.5,5.85,4.12,1.02,2.53,1.79,1.48,1.41,3.96,1.86,3.68,3.07,2.63,2.03,,,,,,
October,,,,,,,,,,3.83,4.12,1.35,4.6,3.48,3.62,3.94,1.4,2.94,3.38,3.96,3.42,3.25,2.32,3.64,5.16,4.31,0.75,0.69,1.69,4,1.92,1.07,4.35,1.4,4.82,1.57,,,,,,
November,,,,,,,,,3.51,4.71,3.77,4.44,2.93,1.24,2.16,4.29,2.7,1.56,3.62,4.33,5.16,2.94,0.87,3.35,5.66,0.26,4.5,3.76,1.55,3.66,3.33,6.48,2.02,2.2,6.66,2.07,,,,,,
December,,,,,,,,,2.33,4.86,4.02,1.75,1.11,0.59,4.42,3.7,2.92,2.7,3.49,1.92,2.13,1.13,3.2,1.34,2.43,2.48,3.52,2.43,3.01,3.38,3.08,4.08,3.11,1.33,3.67,3.14,,,,,,
Total,,,,,,,,,,27.17,36.95,34.92,28.92,18.54,23.41,30.61,31.76,29.56,28.59,33.69,31.38,25,23.66,32.76,29.7,25.91,32.14,29.29,27.12,28.64,31.14,34.1,27.77,22.12,38.07,24.62,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Mold Road. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
