BROOKWOOD-KNAPP-HILL-(NURSERIES),,,,,,,,,,,,,,,,,,,,
Grid ref,SU970593,Long,-0.60822,Lat,51.32453,Elevation,118,ft,,,,,,,,,,,,
Station no,233/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.04,1.57,1.81,0.75,4.88,4.63,2.86,4.73,2.53,2.55,,,,,,,,,
February,,0.1,3.55,0.12,3.06,1.92,3.9,0.51,1.09,2.52,2.24,,,,,,,,,
March,,1.38,2.97,2.42,0.24,1.45,3.52,0.2,1.12,3.25,3.48,,,,,,,,,
April,3.8,2.41,0.89,2.09,3.52,1.7,2,0.12,2.38,1.88,1.15,,,,,,,,,
May,2.77,3.6,3.6,0.62,1.28,0.62,2.36,1.47,1.26,1.14,2.23,,,,,,,,,
June,1.47,1.09,1.31,0.99,3.45,3.04,1.8,0.56,1.32,0.96,2.08,,,,,,,,,
July,3.39,3.04,1.39,3.33,1.73,3.33,0.69,1.04,2.26,,3.54,,,,,,,,0.77,
August,5.22,1.03,0.65,2.47,3.28,2.03,1.11,2.62,1.83,,5.84,,,,,,,,0.66,
September,2,2.28,2.54,1.45,3.54,2.29,1.83,1.61,0.82,1.44,0.24,,,,,,,,1.05,
October,0.53,4.59,2,1.8,3.37,2.05,3.15,2.7,4.93,3.08,1.38,,,,,,,,5.26,
November,2.86,1.17,0.9,2.22,5.21,3.39,1.38,3.15,5.05,6.58,3.37,,,,,,,,-999,
December,0.49,0.43,0.44,6.1,2.77,2.36,4.14,3.02,1.01,1.34,1.71,,,,,,,,-999,
Total,,23.16,21.81,25.42,32.2,29.06,30.51,19.86,27.8,,29.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
The nurseries were about 0.5 miles ENE of Lynbrook,,,,,,,,,,,,,,,,,,,,
They were extensive but the observer lived at Whitfield Court in the south of the nurseries ,,,,,,,,,,,,,,,,,,,,
Distance to station and church cannot both be right but join is around Whitfield Court,,,,,,,,,,,,,,,,,,,,
No distance to building given only trees shrubs and hedges,,,,,,,,,,,,,,,,,,,,
Most of the nursery was on fairly level ground though most a little higher than the given elevation,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1931 May 1 Gauge moved 300yds W,,,,,,,,,,,,,,,,,,,,
1940 July Aug Estimated,,,,,,,,,,,,,,,,,,,,
1949 Nov Dec Bracketed Total 3.70,,,,,,,,,,,,,,,,,,,,
1950 Jan Gauge moving to Lightwater Surrey,,,,,,,,,,,,,,,,,,,,
