HORNCASTLE - BUCKNALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF166686,Long,-0.256,Lat,53.202,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905
January,1.63,1.32,1.78,1.66,3.31,1.76,1.26,0.24,0.71,1.75,2.46,2.20,1.81,2.69,1.90,0.78,1.21,2.52,1.62,0.83,1.47,1.94,3.18,1.01,2.25,1.03,2.28,2.36,0.59,0.75,1.42,1.53,0.46
February,1.72,1.44,0.94,1.99,2.13,1.23,2.79,1.95,3.30,1.27,2.90,1.46,2.30,0.46,0.68,1.51,1.87,1.08,0.06,1.54,2.72,0.97,0.30,0.43,2.67,0.63,1.39,3.16,1.81,1.21,0.47,2.07,0.48
March,1.45,0.83,0.61,2.53,2.23,1.12,0.53,1.92,1.54,1.35,1.29,1.37,0.96,2.57,1.42,2.43,2.39,1.54,1.45,1.18,0.43,0.55,2.10,2.19,2.07,1.47,0.81,0.23,0.92,1.54,3.23,1.25,1.49
April,0.84,1.42,0.48,3.75,2.84,1.16,2.19,2.36,1.28,2.67,1.55,0.90,1.30,1.32,1.02,1.90,2.05,0.18,1.20,1.62,0.15,2.08,1.38,0.72,1.28,2.41,1.98,1.54,1.37,1.77,1.35,0.59,1.28
May,2.74,0.87,1.37,0.78,1.70,4.00,4.00,1.11,1.14,2.38,1.79,1.04,1.49,3.80,1.23,0.90,3.77,2.10,2.57,2.10,0.92,1.32,0.87,0.77,1.22,1.78,2.50,0.96,1.15,2.13,1.65,1.24,0.60
June,1.49,0.63,2.51,2.70,1.03,1.69,4.09,3.65,1.88,3.72,4.06,0.45,2.24,0.69,0.06,1.68,0.52,2.41,2.73,3.26,1.59,2.50,1.68,1.91,1.68,1.51,1.71,1.84,1.24,2.59,0.88,0.27,1.58
July,2.23,0.78,3.65,1.15,2.32,1.50,3.51,7.87,2.91,2.32,2.18,3.50,0.75,2.40,1.35,4.75,1.41,2.04,2.33,2.23,2.39,2.94,3.78,1.75,1.26,0.48,1.24,0.99,2.03,1.24,2.35,4.31,0.71
August,2.96,1.83,2.01,1.58,2.94,7.14,3.18,1.90,4.57,3.59,1.59,1.61,2.46,1.97,2.75,2.06,3.55,1.65,3.16,1.26,1.00,2.72,2.22,1.32,3.34,2.39,0.59,3.58,2.09,3.06,4.28,3.20,2.71
September,2.32,1.87,1.49,3.61,2.30,1.60,3.43,3.78,2.44,2.16,5.34,1.22,3.66,1.18,2.26,1.65,2.01,0.65,1.35,1.90,0.97,1.00,0.27,3.42,2.43,0.40,2.58,0.64,1.06,0.73,2.73,1.44,1.92
October,1.79,1.52,4.40,1.45,1.66,2.27,1.27,4.46,2.02,4.27,2.80,1.20,4.95,4.42,2.20,0.56,4.30,0.90,3.85,4.66,1.10,2.97,2.09,3.69,0.70,2.26,2.62,1.68,2.55,1.99,5.59,0.53,1.89
November,1.21,2.35,5.08,3.25,2.42,3.97,1.43,2.12,2.66,3.03,3.12,1.39,2.47,2.35,1.83,2.60,0.65,2.45,2.78,1.08,2.22,2.09,2.60,1.04,1.98,1.86,1.19,1.64,1.80,1.19,1.53,0.58,1.85
December,0.17,2.34,0.99,4.80,1.75,1.49,0.83,1.95,2.05,4.47,1.48,2.10,0.80,3.45,1.28,1.34,1.43,0.68,3.01,0.71,1.87,1.94,1.92,3.55,2.01,1.92,1.89,3.12,4.63,1.46,0.88,1.10,0.42
Total,20.55,17.20,25.31,29.25,26.63,28.93,28.51,33.31,26.50,32.98,30.56,18.44,25.19,27.30,17.98,22.16,25.16,18.20,26.11,22.37,16.83,23.02,22.39,21.80,22.89,18.14,20.78,21.74,21.24,19.66,26.36,18.11,15.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The July 1880 reading is shown in brackets on the sheet, as the amount for July 13th was computed. The July reading has been retained.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The directions put the gauge at Hall Yards Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
