"HORNCASTLE BUCKNALL",,,,,,,,,,,,
Grid ref,TF166685,Long,-0.255887,Lat,53.200799,,,,,,,
Station no,RR1591,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.36,0.59,0.75,1.42,1.53,0.46,,,,,,
February,3.16,1.81,1.21,0.47,2.07,0.48,,,,,,
March,0.23,0.92,1.54,3.23,1.25,1.49,,,,,,
April,1.54,1.37,1.77,1.35,0.59,1.28,,,,,,
May,0.96,1.15,2.13,1.65,1.24,0.60,,,,,,
June,1.84,1.24,2.59,0.88,0.27,1.58,,,,,,
July,0.99,2.03,1.24,2.35,4.31,0.71,,,,,,
August,3.58,2.09,3.06,4.28,3.20,2.71,,,,,,
September,0.64,1.06,0.73,2.73,1.44,1.92,,,,,,
October,1.68,2.55,1.99,5.59,0.53,1.89,,,,,,
November,1.64,1.80,1.19,1.53,0.58,1.85,,,,,,
December,3.12,4.63,1.46,0.88,1.10,0.42,,,,,,
Total,21.74,21.24,19.66,26.36,18.11,15.39,,,,,,
Calc annual,21.74,21.24,19.66,26.36,18.11,15.39,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
