MANSFIELD-BERRY-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK549595,Long,-1.1809514,Lat,53.129845,Elevation,528,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.1,1.4,1.2,3.37,1.36,5.69,5.45,1.47,2.74,,,,,3.27,,,,,,,,,,
February,,,,,,,,2.39,2.21,0.72,3.02,1.48,2,1.06,1.88,4.29,,,,,2.71,,,,,,,,,,
March,,,,,,,,1.63,3.53,5.51,0.68,1.82,3.9,4.19,2.72,0.81,,,,,2.71,,,,,,,,,,
April,,,,,,,,2.02,2.63,1.58,2.03,1.17,0.3,3.43,1.11,1.11,,,,,5.63,,,,,,,,,,
May,,,,,,,,3.96,2.7,1.66,2.39,1.71,3.97,2.2,2.13,1.74,,,,,2,,,,,,,,,,
June,,,,,,,,3.71,2.63,3.4,1.6,3.12,3.84,0.47,2.99,0.74,,,,,2.06,,,,,,,,,,
July,,,,,,,,2.81,2.72,4.51,2.41,0.05,3.99,1.04,2.76,5.26,,,,,5.28,,,,,,,,,,
August,,,,,,,,2.29,3.3,3.3,4.44,2.03,6.84,1.49,2.05,2.8,,,,,1.14,,,,,,,,,,
September,,,,,,,,0.61,2.12,3.06,0.75,1.38,1.33,2.97,1.17,1.02,,,,,1.82,,,,,,,,,,
October,,,,,,,,5.74,1,4.17,2.92,2.2,3.26,4.67,3.38,1.86,,,,,2.23,,,,,,,,,,
November,,,,,,,,2.63,1.63,0.59,5.13,2.78,2.72,2.16,4.45,2.94,,,,,1.35,,,,,,,,,,
December,,,,,,,,3.31,2.39,5.92,5.42,5.81,3.17,1.29,6.13,6.67,,,,,3.41,,,,,,,,,,
Total,,,,,,,,32.2,28.26,35.62,34.16,24.91,41.01,30.42,32.24,31.98,,,,,33.61,,,,,,,,,,
