"DALRY (DRUM BURN)",,,,,,,,,,,,
Grid ref,NS237513,Long,-4.808626,Lat,55.722947,,,,,,,
Station no,5249/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.35,7.65,3.40,6.25,3.90,4.15,6.30,6.50,2.45,4.75,,
February,3.15,1.70,3.05,5.35,3.20,2.45,4.15,5.55,2.30,4.55,,
March,4.40,3.80,1.07,3.80,1.50,3.45,6.55,1.70,3.60,2.35,,
April,2.15,2.35,2.55,2.30,5.30,2.05,2.90,2.00,3.65,5.55,,
May,2.55,2.20,2.90,3.00,4.10,3.10,3.30,3.90,1.65,2.80,,
June,2.05,3.65,1.60,5.30,4.75,3.12,3.00,3.15,4.15,3.65,,
July,4.25,4.25,4.15,4.90,1.30,7.23,7.10,5.60,6.30,6.50,,
August,4.90,5.75,4.00,8.25,1.30,6.75,4.70,6.05,1.30,5.20,,
September,4.55,3.65,6.70,7.90,5.45,7.20,3.55,4.90,2.20,4.20,,
October,1.60,6.80,4.35,11.45,3.75,3.25,7.30,4.85,6.95,3.80,,
November,7.15,3.20,8.15,9.05,3.50,2.20,3.24,2.90,5.30,7.05,,
December,7.45,6.60,5.70,6.15,8.25,6.35,5.25,6.80,8.25,6.30,,
Total,49.55,51.60,47.62,73.70,46.30,51.30,57.34,53.90,48.10,56.70,,
Calc annual,49.55,51.60,47.62,73.70,46.30,51.30,57.34,53.90,48.10,56.70,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
