DALRY (DRUM BURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS237513,Long,-4.808626,Lat,55.722947,Elevation,744,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5249/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.6,4.6,1.75,10.5,6.55,4.65,4.9,6.15,7.7,8.55,6.4,4.2,5.35,7.65,3.4,6.25,3.9,4.15,6.3,6.5,2.45,4.75
February,,,,,,,,,5.8,3,3.95,2.6,4.75,1.85,6.4,2.95,1,4.93,4.9,4.25,3.15,1.7,3.05,5.35,3.2,2.45,4.15,5.55,2.3,4.55
March,,,,,,,,,4.3,6,3.5,5.5,1.5,0.95,3.6,2.65,5.5,4.6,3.5,3.55,4.4,3.8,1.07,3.8,1.5,3.45,6.55,1.7,3.6,2.35
April,,,,,,,,,2.95,3.6,2.25,2.7,3.85,3.6,2.6,1.95,5.25,3.35,6.2,3.25,2.15,2.35,2.55,2.3,5.3,2.05,2.9,2,3.65,5.55
May,,,,,,,,,1.35,1.65,4,3.9,4.35,3.7,4.55,1.3,5.6,2.7,2.1,1.6,2.55,2.2,2.9,3,4.1,3.1,3.3,3.9,1.65,2.8
June,,,,,,,,,2.8,1.25,1.65,2.7,4.7,3.55,4.85,2.95,4.75,6.45,1.3,3.45,2.05,3.65,1.6,5.3,4.75,3.12,3,3.15,4.15,3.65
July,,,,,,,,,7.45,3.95,4.3,4.3,3,5.55,4.05,4.65,3.55,4.8,2.5,6.8,4.25,4.25,4.15,4.9,1.3,7.23,7.1,5.6,6.3,6.5
August,,,,,,,,,2.65,2.8,5.95,7.9,8.85,3.15,2.55,3.35,0,7.85,6.2,6.95,4.9,5.75,4,8.25,1.3,6.75,4.7,6.05,1.3,5.2
September,,,,,,,,,4.3,5.55,2.7,7.65,4.25,6.9,5.5,9.05,5.2,8.05,3.5,11.35,4.55,3.65,6.7,7.9,5.45,7.2,3.55,4.9,2.2,4.2
October,,,,,,,,,3.15,5.85,5.6,6.75,9.25,7.05,9.2,0.75,3.3,9.7,7.75,4.65,1.6,6.8,4.35,11.45,3.75,3.25,7.3,4.85,6.95,3.8
November,,,,,,,,,8.95,7.55,4.25,0.85,3.5,6.15,0.7,9.4,7.2,4.25,6.95,4.05,7.15,3.2,8.15,9.05,3.5,2.2,3.24,2.9,5.3,7.05
December,,,,,,,,,4.12,7.5,2.2,6.15,2.85,5.35,5.3,4.1,3.1,8.05,8.15,2.45,7.45,6.6,5.7,6.15,8.25,6.35,5.25,6.8,8.25,6.3
Total,,,,,,,,,53.42,53.3,42.1,61.5,57.4,52.45,54.2,49.25,52.15,73.28,59.45,56.55,49.55,51.6,47.62,73.7,46.3,51.3,57.34,53.9,48.1,56.7
