CRAVEN-ARMS-NEWINGTON-HOUSE-2ND-GAUGE,,,,,,,,,,,
Grid ref,SO432836,Long,-2.8371461,Lat,52.447394,Elevation,406,ft.,,,
Station no,RR4854,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,
February,,,,,,,,,,,
March,,,,,,,,,,,
April,,,,,,,,,,,
May,,,,,,,,,,,
June,,,,,,,,,,,
July,,,,,,,,1.72,,,
August,,,,,,,,4.75,,,
September,,,,,,,,2.98,,,
October,,,,,,,,2.24,,,
November,,,,,,,,3.38,,,
December,,,,,,,,2.81,,,
Total,,,,,,,,,,,
,,,,,,,,,,,
NGR is Newington House. Altitudes match.,,,,,,,,,,,
2nd gauge for 1927 at same location,,,,,,,,,,,
