WITHAM-FRIARY-VICARAGE,,,,,,,,,,
Grid ref,ST746414,Long,-2.36469,Lat,51.1713,Elevation,350,ft,,
Station no,1953/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.91,2.41,2.59,4.57,3.5
February,,,,,,0.35,2.34,3.65,0.21,2.75
March,,,,,,1.4,1.79,1.26,4.28,1.49
April,,,,,,1.08,0.08,1.23,2.36,1.9
May,,,,,,0.51,2.14,2.93,1.84,1.59
June,,,,,2.77,2.25,2.2,3.84,1.17,2.76
July,,,,,0.46,3.09,5.34,2.25,2.04,4.32
August,,,,,0.27,4.21,3.75,3.8,1.59,5.06
September,,,,,1.57,3.6,3.34,6.06,0.2,3.71
October,,,,,2.48,2.17,3.01,3.18,2.67,8.57
November,,,,,3.05,0.68,2.12,2.02,2.56,4.29
December,,,,,4.77,3.87,3.68,4.12,8.93,4.52
Total,,,,,,27.12,32.2,36.93,32.42,44.46
,,,,,,,,,,
SRC_ID 9495,,,,,,,,,,
1955-1970,,,,,,,,,,
