CRAMLINGTON,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ278761,Long,-1.5661079,Lat,55.078579,Elevation,228,ft,,,,,,,,,,,,
Station no,RR4807,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,0.84,1.9,3.28,1.4,2.94,1.53,1.7,1.17,,1.31,1.39,1.18,1.72,1.42,1.23,,,
February,,,0.71,1.42,0.95,0.97,1.52,0.46,0.99,1.47,,0.1,1.85,3.56,3.09,0.71,,,,
March,,,1.02,1.5,2.1,2.39,3.22,1.64,5.12,2.59,,3.38,1.3,0.63,0.82,0.63,,,,
April,,,2.37,1.29,1.82,1.84,1.61,1.05,1.86,2.88,,1.68,1.08,0.47,1.02,1.53,,,,
May,,,2.32,1.6,0.89,3.1,2.49,1.68,0.49,1.43,,2.58,2.91,1.27,2.46,1.25,,,,
June,,,4.82,2.67,1.37,1.34,1.26,0.36,2.45,0.31,,0.85,3.34,1.2,3.12,2.11,,,,
July,,,3.79,4.22,4.01,1.09,3.6,1.75,4.71,3.21,,3.94,1.82,2.89,2.1,5.04,,,,
August,,,3.7,3.02,0.82,2.11,2.04,2.08,2.28,3.93,,5.12,3.73,2.44,3.17,3.27,,,,
September,,,2.1,3.99,2.13,2.29,1.75,5.34,1.3,1.46,,2.29,2.83,2.27,1.05,0.76,,,,
October,,,3.09,1.75,1.4,3.94,4.45,2.12,1.03,4.97,,1.64,4.5,1.02,5.13,4.8,,,,
November,,,3.24,1.59,1.94,1.89,3.44,3.03,4.19,0.98,3.77,2.76,1.53,2.2,1.74,2.01,,,,
December,,,3.24,2.34,2.05,1.1,3.08,3.24,1.05,1.57,1.9,3.55,1.33,1.3,1.04,2.54,,,,
Total,,,31.24,27.29,22.76,23.46,31.4,24.28,27.17,25.97,,29.2,27.61,20.43,26.46,26.07,,,,
