WINDERMERE HOLEHIRD,,,,,,,,,,
Grid ref,NY411008,Long,-2.908752,Lat,54.399244,Elevation,420,ft,,
Station no,3696,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,9.35,,9.33,7.05,
February,,,,,,2.7,,8.6,3.3,
March,,,,,,2.08,,5.05,4.65,
April,,,,,,0.1,,3.25,3.07,
May,,,,,,4.85,,1.9,4.8,
June,,,,,3.32,4.75,,6.3,5.45,
July,,,,,2.95,4.98,,5.9,0.3,
August,,,,,8.26,2,,5,5.27,
September,,,,,7.44,7.33,,6.36,7.09,
October,,,,,15.25,11.6,,8.64,4.06,
November,,,,,5.24,7.22,,11.58,3.22,
December,,,,,6.3,0.5,,8.33,3.6,
Total,,,,,,57.46,,80.24,51.86,
