"EDENHALL, PENRITH, CUMBERLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY566324,Long,-2.6745,Lat,54.6849,Elevation,310,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.1,2.05,5.28,1.5,4.2,4.8,3.45,,,,,,,,,,,,,,4.87,1.8,4.24,2.28,1.49,1.34,4.3,0.88,2.26,1.75,4.37,1.02,1.56,1,2.12,
February,,,,,1.65,1.95,3.75,2.6,3,4.1,1.75,,,,,,,,,,,,,,3.71,3.23,0.9,1.33,0.94,1.41,0.68,0.1,2.11,3.51,5.11,0.62,1.62,1.98,2.94,
March,,,,,2.67,0.65,1.85,1.7,4,0.5,1,,,,,,,,,,,,,,2.58,1.89,2.27,1.5,1.56,1.23,2.06,1.45,0.92,1.04,2.09,3.23,3.89,5.36,1.27,
April,,,,,1.55,0.9,1.6,3.8,2.9,1.2,1.65,,,,,,,,,,,,,,1.37,1.79,2.36,1.5,1.84,1.79,1.15,1.08,1.39,0.58,1.95,1.05,2.17,1.87,3.25,
May,,,,,1.83,5.2,1.35,1.75,1.5,2,2.15,,,,,,,,,,,,,,1.51,2.35,3.7,1.85,1.63,2.93,2.35,1.94,4.16,1.79,3.57,0.75,0.66,1.11,2.55,
June,,,,,2.37,0.94,1.65,1.65,1,1.5,1.75,,,,,,,,,,,,,,0.6,1,1.29,0.27,1.65,1.33,3.57,1.61,3.91,2.65,2.4,1.83,3.97,3.18,2.57,
July,,,,,1.02,2.25,3.15,4.1,0.85,1.5,0.6,,,,,,,,,,,,,,4.76,0.81,4.5,1.35,5.2,2.07,1.65,4.38,1.93,3.39,3.87,6.25,3.67,1.38,,
August,,,,,1.75,4.1,3.45,2.4,3.6,1,3.35,,,,,,,,,,,,,,1.11,1.76,1.04,1.74,2.64,4.47,4.53,6.66,6.53,3.69,3.24,3.88,1.94,4.57,,
September,,,,,3.73,0.85,5.17,2.7,2.95,6.2,,,,,,,,,,,,,,,3.15,3.47,2.97,4.04,0.8,1.74,3.18,4.44,5.56,3.41,0.64,1.64,4.36,3.66,,
October,,,,,4.05,4.6,1.85,2.5,3,3.9,,,,,,,,,,,,,,,1.69,2.8,5.46,1.82,2.24,4.34,2.04,4.25,5.32,3.27,2.99,4.11,5.03,2.16,,
November,,,,,3.27,3,3.77,1.1,2.15,1.5,,,,,,,,,,,,,,,1.75,1.65,2.35,2.6,3.72,1.38,4.48,3.57,2.13,2.09,3.64,4.61,1.13,2.07,,
December,,,,,2.62,2.5,3.88,2.1,6.03,2.3,,,,,,,,,,,,,,,3.07,1.22,5.48,3.4,2.3,2.54,0.61,5.76,1.13,3.63,2.49,2.69,2.33,4.86,,
Total,,,,,28.61,28.99,36.75,27.9,35.18,30.5,,,,,,,,,,,,,,,30.17,23.77,36.56,23.68,26.01,26.57,30.6,36.12,37.35,30.8,36.36,31.68,32.33,33.2,,
