SUTTON-COLDHARBOUR,,,,,,,,,,,,,,,,,,,,
Grid ref,SU971135,Long,-0.62018126,Lat,50.912809,Elevation,340,ft,,,,,,,,,,,,
Station no,RR7850,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.3,7.34,1.51,1.92,1.37,3.71,0.93,3.81,5.77,,,,,,
February,,,,,,0.61,3.42,1.28,1.88,0.29,4.7,1.99,3.64,1.74,,,,,,
March,,,,,,5.62,1.25,0.85,3.14,4.73,1.59,1.62,4.44,3.5,,,,,,
April,,,,,,2.1,1.03,4.51,2.02,1.5,2.09,1.09,0.07,2.92,,,,,,
May,,,,,,0.55,2.02,2.65,2.16,1.6,1.83,1.76,1.2,2.7,,,,,,
June,,,,,,2.67,1.37,3.2,1.5,3.15,2.18,2.36,3.07,1.06,,,,,,
July,,,,,,0.38,1.02,1.56,3.5,3.03,4.06,0.69,2.32,2.56,,,,,,
August,,,,,,3.08,0.82,2,5.06,2.52,3.08,1.04,8.74,2.48,,,,,,
September,,,,,,2,2.24,0.81,2.09,3.88,0.1,2.13,2.4,2.5,,,,,,
October,,,,,,1.8,3.99,6.96,2.15,10.57,4.3,5.78,3.05,5.51,,,,,,
November,,,,,0.86,5.54,5.17,3.07,1.36,1.32,4.84,6.48,1.81,4.29,,,,,,
December,,,,,3.42,1.31,1.3,4.12,4.17,4.18,5.1,9.32,5.43,2.15,,,,,,
Total,,,,,,26.96,30.97,32.52,30.95,38.14,37.58,35.19,39.98,37.18,,,,,,
